Device ID,,,,
Remarks,_A5_234,,,
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
6.03605,7.22E-05,9.628744125,6.03605,6.03605
6.03615,0.000101586,9.994790077,6.03615,6.03615
6.03625,0.000101946,9.994576454,6.03625,6.03625
6.03635,0.000102028,9.99460125,6.03635,6.03635
6.03645,0.000102058,9.994748116,6.03645,6.03645
6.03655,0.000102062,9.994935989,6.03655,6.03655
6.03665,0.000102089,9.994756699,6.03665,6.03665
6.03675,0.000102077,9.994725227,6.03675,6.03675
6.03685,0.000102072,9.994728088,6.03685,6.03685
6.03695,0.000102117,9.994777679,6.03695,6.03695
6.03705,0.000102148,0.374633789,6.03705,6.03705
6.03715,4.84E-05,-0.001070127,6.03715,6.03715
6.03725,4.54E-05,-0.001000463,6.03725,6.03725
6.03735,4.49E-05,-0.000624349,6.03735,6.03735
6.03745,4.48E-05,-0.000690987,6.03745,6.03745
6.03755,4.48E-05,-0.000361737,6.03755,6.03755
6.03765,4.48E-05,-0.000676632,6.03765,6.03765
6.03775,4.48E-05,-0.000770221,6.03775,6.03775
6.03785,4.48E-05,-0.001045991,6.03785,6.03785
6.03795,4.48E-05,-0.001316133,6.03795,6.03795
6.03805,7.20E-05,9.608611107,6.03805,6.03805
6.03815,0.000101567,9.994670868,6.03815,6.03815
6.03825,0.000101933,9.994667053,6.03825,6.03825
6.03835,0.000102021,9.994543076,6.03835,6.03835
6.03845,0.000102044,9.994399071,6.03845,6.03845
6.03855,0.000102074,9.994421005,6.03855,6.03855
6.03865,0.000102079,9.994384766,6.03865,6.03865
6.03875,0.000102115,9.994199753,6.03875,6.03875
6.03885,0.000102123,9.994343758,6.03885,6.03885
6.03895,0.000102112,9.994540215,6.03895,6.03895
6.03905,0.00010203,0.394872278,6.03905,6.03905
6.03915,4.81E-05,-0.001098486,6.03915,6.03915
6.03925,4.52E-05,-0.000766843,6.03925,6.03925
6.03935,4.46E-05,-0.00068965,6.03935,6.03935
6.03945,4.45E-05,-0.000854521,6.03945,6.03945
6.03955,4.45E-05,-0.000768884,6.03955,6.03955
6.03965,4.45E-05,-0.000832215,6.03965,6.03965
6.03975,4.45E-05,-0.001066609,6.03975,6.03975
6.03985,4.45E-05,-0.001018196,6.03985,6.03985
6.03995,4.45E-05,-0.000780143,6.03995,6.03995
6.04005,7.18E-05,9.588985443,6.04005,6.04005
6.04015,0.000101539,9.994515419,6.04015,6.04015
6.04025,0.000101926,9.994773865,6.04025,6.04025
6.04035,0.000102026,9.994909286,6.04035,6.04035
6.04045,0.000102077,9.994646072,6.04045,6.04045
6.04055,0.000102049,9.994504929,6.04055,6.04055
6.04065,0.000102065,9.994132042,6.04065,6.04065
6.04075,0.000102059,9.994153976,6.04075,6.04075
6.04085,0.000102047,9.994324684,6.04085,6.04085
6.04095,0.000102075,9.994344711,6.04095,6.04095
6.04105,0.000101893,0.414325684,6.04105,6.04105
6.04115,4.78E-05,-0.001141339,6.04115,6.04115
6.04125,4.49E-05,-0.00122191,6.04125,6.04125
6.04135,4.44E-05,-0.001282075,6.04135,6.04135
6.04145,4.43E-05,-0.001250339,6.04145,6.04145
6.04155,4.42E-05,-0.001248439,6.04155,6.04155
6.04165,4.42E-05,-0.001112841,6.04165,6.04165
6.04175,4.42E-05,-0.000958243,6.04175,6.04175
6.04185,4.43E-05,-0.001058446,6.04185,6.04185
6.04195,4.43E-05,-0.000709845,6.04195,6.04195
6.04205,7.17E-05,9.568777084,6.04205,6.04205
6.04215,0.000101568,9.994651794,6.04215,6.04215
6.04225,0.000101962,9.994711876,6.04225,6.04225
6.04235,0.00010203,9.994303703,6.04235,6.04235
6.04245,0.000102058,9.994668007,6.04245,6.04245
6.04255,0.000102079,9.99458313,6.04255,6.04255
6.04265,0.000102083,9.994379044,6.04265,6.04265
6.04275,0.000102107,9.994383812,6.04275,6.04275
6.04285,0.000102104,9.994315147,6.04285,6.04285
6.04295,0.000102101,9.994321823,6.04295,6.04295
6.04305,0.000101769,0.434634268,6.04305,6.04305
6.04315,4.76E-05,-0.001215999,6.04315,6.04315
6.04325,4.47E-05,-0.001128744,6.04325,6.04325
6.04335,4.42E-05,-0.001106507,6.04335,6.04335
6.04345,4.40E-05,-0.001127125,6.04345,6.04345
6.04355,4.40E-05,-0.000724623,6.04355,6.04355
6.04365,4.40E-05,-0.000983646,6.04365,6.04365
6.04375,4.40E-05,-0.001215507,6.04375,6.04375
6.04385,4.40E-05,-0.001251183,6.04385,6.04385
6.04395,4.41E-05,-0.001202559,6.04395,6.04395
6.04405,7.15E-05,9.54865551,6.04405,6.04405
6.04415,0.000101559,9.994665146,6.04415,6.04415
6.04425,0.000101951,9.994826317,6.04425,6.04425
6.04435,0.000102055,9.994545937,6.04435,6.04435
6.04445,0.000102086,9.994487762,6.04445,6.04445
6.04455,0.000102074,9.994415283,6.04455,6.04455
6.04465,0.000102095,9.994262695,6.04465,6.04465
6.04475,0.000102084,9.994277954,6.04475,6.04475
6.04485,0.000102083,9.994338036,6.04485,6.04485
6.04495,0.000102093,9.994633675,6.04495,6.04495
6.04505,0.000101676,0.454573214,6.04505,6.04505
6.04515,4.74E-05,-0.001037266,6.04515,6.04515
6.04525,4.45E-05,-0.001241191,6.04525,6.04525
6.04535,4.39E-05,-0.00117216,6.04535,6.04535
6.04545,4.38E-05,-0.000843755,6.04545,6.04545
6.04555,4.38E-05,-0.001034099,6.04555,6.04555
6.04565,4.38E-05,-0.00097492,6.04565,6.04565
6.04575,4.38E-05,-0.00079886,6.04575,6.04575
6.04585,4.38E-05,-0.00080062,6.04585,6.04585
6.04595,4.38E-05,-0.000696124,6.04595,6.04595
6.04605,7.14E-05,9.528860092,6.04605,6.04605
6.04615,0.000101566,9.994285583,6.04615,6.04615
6.04625,0.00010192,9.994393349,6.04625,6.04625
6.04635,0.000102024,9.994464874,6.04635,6.04635
6.04645,0.000102049,9.994304657,6.04645,6.04645
6.04655,0.000102083,9.994363785,6.04655,6.04655
6.04665,0.000102068,9.994482994,6.04665,6.04665
6.04675,0.000102101,9.994253159,6.04675,6.04675
6.04685,0.000102073,9.994633675,6.04685,6.04685
6.04695,0.000102058,9.994443893,6.04695,6.04695
6.04705,0.000101542,0.474662602,6.04705,6.04705
6.04715,4.71E-05,-0.00104008,6.04715,6.04715
6.04725,4.42E-05,-0.000802449,6.04725,6.04725
6.04735,4.37E-05,-0.00101327,6.04735,6.04735
6.04745,4.35E-05,-0.001177579,6.04745,6.04745
6.04755,4.35E-05,-0.001114178,6.04755,6.04755
6.04765,4.35E-05,-0.000833059,6.04765,6.04765
6.04775,4.35E-05,-0.00097879,6.04775,6.04775
6.04785,4.35E-05,-0.001076038,6.04785,6.04785
6.04795,4.36E-05,-0.001064146,6.04795,6.04795
6.04805,7.12E-05,9.508618355,6.04805,6.04805
6.04815,0.000101579,9.994175911,6.04815,6.04815
6.04825,0.000101958,9.99407196,6.04825,6.04825
6.04835,0.000102017,9.994272232,6.04835,6.04835
6.04845,0.000102064,9.994128227,6.04845,6.04845
6.04855,0.00010209,9.994113922,6.04855,6.04855
6.04865,0.000102085,9.993865013,6.04865,6.04865
6.04875,0.00010209,9.993888855,6.04875,6.04875
6.04885,0.000102076,9.994336128,6.04885,6.04885
6.04895,0.000102093,9.993913651,6.04895,6.04895
6.04905,0.000101503,0.494214028,6.04905,6.04905
6.04915,4.69E-05,-0.001140354,6.04915,6.04915
6.04925,4.40E-05,-0.001101934,6.04925,6.04925
6.04935,4.35E-05,-0.001075335,6.04935,6.04935
6.04945,4.33E-05,-0.001362294,6.04945,6.04945
6.04955,4.33E-05,-0.001413803,6.04955,6.04955
6.04965,4.33E-05,-0.001576282,6.04965,6.04965
6.04975,4.33E-05,-0.001816798,6.04975,6.04975
6.04985,4.34E-05,-0.001395085,6.04985,6.04985
6.04995,4.34E-05,-0.001475163,6.04995,6.04995
6.05005,7.10E-05,9.488132477,6.05005,6.05005
6.05015,0.000101594,9.993762016,6.05015,6.05015
6.05025,0.000101947,9.993944168,6.05025,6.05025
6.05035,0.00010203,9.994001389,6.05035,6.05035
6.05045,0.000102063,9.994001389,6.05045,6.05045
6.05055,0.0001021,9.994057655,6.05055,6.05055
6.05065,0.000102062,9.994052887,6.05065,6.05065
6.05075,0.00010207,9.994072914,6.05075,6.05075
6.05085,0.000102075,9.99403286,6.05085,6.05085
6.05095,0.000102073,9.99415493,6.05095,6.05095
6.05105,0.00010141,0.514420867,6.05105,6.05105
6.05115,4.67E-05,-0.001001871,6.05115,6.05115
6.05125,4.38E-05,-0.001133247,6.05125,6.05125
6.05135,4.33E-05,-0.001173075,6.05135,6.05135
6.05145,4.31E-05,-0.001245202,6.05145,6.05145
6.05155,4.31E-05,-0.001128392,6.05155,6.05155
6.05165,4.31E-05,-0.000982027,6.05165,6.05165
6.05175,4.31E-05,-0.001040643,6.05175,6.05175
6.05185,4.31E-05,-0.001335202,6.05185,6.05185
6.05195,4.31E-05,-0.001316133,6.05195,6.05195
6.05205,7.08E-05,9.46835804,6.05205,6.05205
6.05215,0.000101549,9.99377346,6.05215,6.05215
6.05225,0.000101947,9.993945122,6.05225,6.05225
6.05235,0.000102028,9.993950844,6.05235,6.05235
6.05245,0.00010206,9.994092941,6.05245,6.05245
6.05255,0.000102111,9.99382019,6.05255,6.05255
6.05265,0.000102106,9.993727684,6.05265,6.05265
6.05275,0.000102088,9.993896484,6.05275,6.05275
6.05285,0.000102095,9.993965149,6.05285,6.05285
6.05295,0.000102091,9.994263649,6.05295,6.05295
6.05305,0.000101299,0.534654856,6.05305,6.05305
6.05315,4.65E-05,-0.001062317,6.05315,6.05315
6.05325,4.36E-05,-0.001317258,6.05325,6.05325
6.05335,4.31E-05,-0.001032481,6.05335,6.05335
6.05345,4.29E-05,-0.00108012,6.05345,6.05345
6.05355,4.29E-05,-0.000679939,6.05355,6.05355
6.05365,4.29E-05,-0.000968376,6.05365,6.05365
6.05375,4.29E-05,-0.000773176,6.05375,6.05375
6.05385,4.29E-05,-0.000748266,6.05385,6.05385
6.05395,4.30E-05,-0.000973865,6.05395,6.05395
6.05405,7.07E-05,9.448770523,6.05405,6.05405
6.05415,0.000101576,9.994429588,6.05415,6.05415
6.05425,0.000101964,9.994682312,6.05425,6.05425
6.05435,0.000102062,9.994598389,6.05435,6.05435
6.05445,0.000102085,9.994335175,6.05445,6.05445
6.05455,0.000102099,9.994037628,6.05455,6.05455
6.05465,0.000102114,9.99438858,6.05465,6.05465
6.05475,0.000102122,9.994293213,6.05475,6.05475
6.05485,0.000102125,9.994350433,6.05485,6.05485
6.05495,0.000102106,9.994048119,6.05495,6.05495
6.05505,0.000101249,0.554682255,6.05505,6.05505
6.05515,4.63E-05,-0.001227821,6.05515,6.05515
6.05525,4.34E-05,-0.000868735,6.05525,6.05525
6.05535,4.29E-05,-0.000699712,6.05535,6.05535
6.05545,4.28E-05,-0.000909337,6.05545,6.05545
6.05555,4.27E-05,-0.000800268,6.05555,6.05555
6.05565,4.27E-05,-0.000773669,6.05565,6.05565
6.05575,4.27E-05,-0.00063617,6.05575,6.05575
6.05585,4.28E-05,-0.000954513,6.05585,6.05585
6.05595,4.28E-05,-0.000794638,6.05595,6.05595
6.05605,7.05E-05,9.428868294,6.05605,6.05605
6.05615,0.000101547,9.994562149,6.05615,6.05615
6.05625,0.000101939,9.994310379,6.05625,6.05625
6.05635,0.00010203,9.994631767,6.05635,6.05635
6.05645,0.000102043,9.995061874,6.05645,6.05645
6.05655,0.000102074,9.994541168,6.05655,6.05655
6.05665,0.000102088,9.994531631,6.05665,6.05665
6.05675,0.000102067,9.994755745,6.05675,6.05675
6.05685,0.000102086,9.994636536,6.05685,6.05685
6.05695,0.000102091,9.994731903,6.05695,6.05695
6.05705,0.000101196,0.574917257,6.05705,6.05705
6.05715,4.62E-05,-0.000869228,6.05715,6.05715
6.05725,4.32E-05,-0.000799212,6.05725,6.05725
6.05735,4.27E-05,-0.00061126,6.05735,6.05735
6.05745,4.25E-05,-0.000538219,6.05745,6.05745
6.05755,4.25E-05,-0.000807445,6.05755,6.05755
6.05765,4.25E-05,-0.000723004,6.05765,6.05765
6.05775,4.26E-05,-0.000710619,6.05775,6.05775
6.05785,4.26E-05,-0.000584943,6.05785,6.05785
6.05795,4.26E-05,-0.000723286,6.05795,6.05795
6.05805,7.04E-05,9.408922195,6.05805,6.05805
6.05815,0.000101554,9.994586945,6.05815,6.05815
6.05825,0.000101935,9.994425774,6.05825,6.05825
6.05835,0.000102055,9.9945364,6.05835,6.05835
6.05845,0.000102075,9.994405746,6.05845,6.05845
6.05855,0.000102074,9.994338989,6.05855,6.05855
6.05865,0.000102085,9.9944067,6.05865,6.05865
6.05875,0.000102113,9.99442482,6.05875,6.05875
6.05885,0.000102097,9.994337082,6.05885,6.05885
6.05895,0.000102118,9.994381905,6.05895,6.05895
6.05905,0.000101184,0.594829142,6.05905,6.05905
6.05915,4.60E-05,-0.000936781,6.05915,6.05915
6.05925,4.31E-05,-0.000843966,6.05925,6.05925
6.05935,4.25E-05,-0.000869932,6.05935,6.05935
6.05945,4.23E-05,-0.001053521,6.05945,6.05945
6.05955,4.23E-05,-0.000792879,6.05955,6.05955
6.05965,4.23E-05,-0.000555177,6.05965,6.05965
6.05975,4.24E-05,-0.000319868,6.05975,6.05975
6.05985,4.24E-05,-0.000490509,6.05985,6.05985
6.05995,4.24E-05,-0.000648555,6.05995,6.05995
6.06005,7.02E-05,9.389006615,6.06005,6.06005
6.06015,0.000101573,9.994691849,6.06015,6.06015
6.06025,0.000101947,9.994708061,6.06025,6.06025
6.06035,0.000102016,9.994513512,6.06035,6.06035
6.06045,0.000102068,9.994343758,6.06045,6.06045
6.06055,0.00010208,9.994299889,6.06055,6.06055
6.06065,0.000102092,9.994400978,6.06065,6.06065
6.06075,0.000102097,9.994288445,6.06075,6.06075
6.06085,0.000102116,9.99414444,6.06085,6.06085
6.06095,0.000102126,9.994184494,6.06095,6.06095
6.06105,0.000101143,0.61452049,6.06105,6.06105
6.06115,4.58E-05,-0.000989416,6.06115,6.06115
6.06125,4.29E-05,-0.000781409,6.06125,6.06125
6.06135,4.24E-05,-0.00095001,6.06135,6.06135
6.06145,4.22E-05,-0.000737007,6.06145,6.06145
6.06155,4.22E-05,-0.000867539,6.06155,6.06155
6.06165,4.22E-05,-0.000913137,6.06165,6.06165
6.06175,4.22E-05,-0.000992019,6.06175,6.06175
6.06185,4.22E-05,-0.000986742,6.06185,6.06185
6.06195,4.22E-05,-0.001278979,6.06195,6.06195
6.06205,7.01E-05,9.368950844,6.06205,6.06205
6.06215,0.000101562,9.994667053,6.06215,6.06215
6.06225,0.000101955,9.994631767,6.06225,6.06225
6.06235,0.00010205,9.994572639,6.06235,6.06235
6.06245,0.000102068,9.994628906,6.06245,6.06245
6.06255,0.000102088,9.994519234,6.06255,6.06255
6.06265,0.000102086,9.994810104,6.06265,6.06265
6.06275,0.000102084,9.994423866,6.06275,6.06275
6.06285,0.000102096,9.994465828,6.06285,6.06285
6.06295,0.000102091,9.994382858,6.06295,6.06295
6.06305,0.000101066,0.63465941,6.06305,6.06305
6.06315,4.56E-05,-0.001131347,6.06315,6.06315
6.06325,4.27E-05,-0.000818915,6.06325,6.06325
6.06335,4.22E-05,-0.000947547,6.06335,6.06335
6.06345,4.21E-05,-0.00038911,6.06345,6.06345
6.06355,4.20E-05,-0.000749744,6.06355,6.06355
6.06365,4.20E-05,-0.000820041,6.06365,6.06365
6.06375,4.20E-05,-0.000925241,6.06375,6.06375
6.06385,4.20E-05,-0.001052606,6.06385,6.06385
6.06395,4.21E-05,-0.001346813,6.06395,6.06395
6.06405,6.99E-05,9.348660469,6.06405,6.06405
6.06415,0.000101589,9.994293213,6.06415,6.06415
6.06425,0.000101949,9.99430275,6.06425,6.06425
6.06435,0.000102061,9.994639397,6.06435,6.06435
6.06445,0.00010212,9.994399071,6.06445,6.06445
6.06455,0.000102123,9.994360924,6.06455,6.06455
6.06465,0.000102108,9.994379997,6.06465,6.06465
6.06475,0.000102097,9.993915558,6.06475,6.06475
6.06485,0.000102116,9.9939394,6.06485,6.06485
6.06495,0.000102123,9.993952751,6.06495,6.06495
6.06505,0.000101022,0.654587626,6.06505,6.06505
6.06515,4.55E-05,-0.000943747,6.06515,6.06515
6.06525,4.26E-05,-0.000771206,6.06525,6.06525
6.06535,4.21E-05,-0.000747351,6.06535,6.06535
6.06545,4.19E-05,-0.000643981,6.06545,6.06545
6.06555,4.18E-05,-0.000685991,6.06555,6.06555
6.06565,4.18E-05,-0.000887805,6.06565,6.06565
6.06575,4.18E-05,-0.000815256,6.06575,6.06575
6.06585,4.19E-05,-0.000652003,6.06585,6.06585
6.06595,4.19E-05,-0.000361315,6.06595,6.06595
6.06605,6.97E-05,9.329026222,6.06605,6.06605
6.06615,0.000101542,9.994801521,6.06615,6.06615
6.06625,0.00010192,9.994692802,6.06625,6.06625
6.06635,0.000102043,9.994595528,6.06635,6.06635
6.06645,0.000102076,9.994362831,6.06645,6.06645
6.06655,0.000102097,9.994342804,6.06655,6.06655
6.06665,0.000102087,9.994132996,6.06665,6.06665
6.06675,0.000102076,9.99407959,6.06675,6.06675
6.06685,0.000102061,9.99402523,6.06685,6.06685
6.06695,0.000102042,9.994408607,6.06695,6.06695
6.06705,0.00010099,0.674692035,6.06705,6.06705
6.06715,4.53E-05,-0.001027696,6.06715,6.06715
6.06725,4.24E-05,-0.001038462,6.06725,6.06725
6.06735,4.19E-05,-0.000967602,6.06735,6.06735
6.06745,4.17E-05,-0.000959158,6.06745,6.06745
6.06755,4.17E-05,-0.000917641,6.06755,6.06755
6.06765,4.17E-05,-0.000602957,6.06765,6.06765
6.06775,4.17E-05,-0.000439211,6.06775,6.06775
6.06785,4.17E-05,-0.000772895,6.06785,6.06785
6.06795,4.17E-05,-0.000723637,6.06795,6.06795
6.06805,6.95E-05,9.308764458,6.06805,6.06805
6.06815,0.000101535,9.994279861,6.06815,6.06815
6.06825,0.000101911,9.994519234,6.06825,6.06825
6.06835,0.000102017,9.994467735,6.06835,6.06835
6.06845,0.000102069,9.994347572,6.06845,6.06845
6.06855,0.000102108,9.994470596,6.06855,6.06855
6.06865,0.000102099,9.994360924,6.06865,6.06865
6.06875,0.000102099,9.994210243,6.06875,6.06875
6.06885,0.000102119,9.994135857,6.06885,6.06885
6.06895,0.000102119,9.994151115,6.06895,6.06895
6.06905,0.000100997,0.694494724,6.06905,6.06905
6.06915,4.52E-05,-0.001156328,6.06915,6.06915
6.06925,4.22E-05,-0.000841292,6.06925,6.06925
6.06935,4.17E-05,-0.000987164,6.06935,6.06935
6.06945,4.15E-05,-0.000512605,6.06945,6.06945
6.06955,4.15E-05,-0.000536811,6.06955,6.06955
6.06965,4.15E-05,-0.000815397,6.06965,6.06965
6.06975,4.15E-05,-0.000697953,6.06975,6.06975
6.06985,4.15E-05,-0.000518727,6.06985,6.06985
6.06995,4.16E-05,-0.000753262,6.06995,6.06995
6.07005,6.94E-05,9.288657188,6.07005,6.07005
6.07015,0.000101526,9.994390488,6.07015,6.07015
6.07025,0.000101908,9.994696617,6.07025,6.07025
6.07035,0.000102014,9.994591713,6.07035,6.07035
6.07045,0.000102035,9.994561195,6.07045,6.07045
6.07055,0.000102049,9.99442482,6.07055,6.07055
6.07065,0.000102049,9.994312286,6.07065,6.07065
6.07075,0.000102072,9.994533539,6.07075,6.07075
6.07085,0.000102033,9.994268417,6.07085,6.07085
6.07095,0.000102041,9.994451523,6.07095,6.07095
6.07105,0.000100941,0.714832008,6.07105,6.07105
6.07115,4.50E-05,-0.000934248,6.07115,6.07115
6.07125,4.21E-05,-0.001035718,6.07125,6.07125
6.07135,4.16E-05,-0.000746859,6.07135,6.07135
6.07145,4.14E-05,-0.000978579,6.07145,6.07145
6.07155,4.14E-05,-0.000548141,6.07155,6.07155
6.07165,4.14E-05,-0.000797805,6.07165,6.07165
6.07175,4.14E-05,-0.001077235,6.07175,6.07175
6.07185,4.14E-05,-0.000704216,6.07185,6.07185
6.07195,4.14E-05,-0.000644474,6.07195,6.07195
6.07205,6.92E-05,9.269185066,6.07205,6.07205
6.07215,0.000101495,9.994829178,6.07215,6.07215
6.07225,0.000101916,9.994860649,6.07225,6.07225
6.07235,0.000101995,9.994540215,6.07235,6.07235
6.07245,0.000102008,9.994753838,6.07245,6.07245
6.07255,0.000102044,9.994462013,6.07255,6.07255
6.07265,0.000102069,9.994492531,6.07265,6.07265
6.07275,0.000102049,9.994730949,6.07275,6.07275
6.07285,0.000102087,9.99477005,6.07285,6.07285
6.07295,0.000102082,9.994772911,6.07295,6.07295
6.07305,0.000100907,0.734790325,6.07305,6.07305
6.07315,4.49E-05,-0.000596765,6.07315,6.07315
6.07325,4.20E-05,-0.000755444,6.07325,6.07325
6.07335,4.14E-05,-0.000629204,6.07335,6.07335
6.07345,4.13E-05,-0.000573191,6.07345,6.07345
6.07355,4.12E-05,-0.000766984,6.07355,6.07355
6.07365,4.12E-05,-0.000516897,6.07365,6.07365
6.07375,4.12E-05,-0.000539274,6.07375,6.07375
6.07385,4.13E-05,-0.000667273,6.07385,6.07385
6.07395,4.13E-05,-0.000883935,6.07395,6.07395
6.07405,6.91E-05,9.249107361,6.07405,6.07405
6.07415,0.00010155,9.994874001,6.07415,6.07415
6.07425,0.000101936,9.99464035,6.07425,6.07425
6.07435,0.000102036,9.994440079,6.07435,6.07435
6.07445,0.000102064,9.99431324,6.07445,6.07445
6.07455,0.000102069,9.994808197,6.07455,6.07455
6.07465,0.00010208,9.994586945,6.07465,6.07465
6.07475,0.000102097,9.994841576,6.07475,6.07475
6.07485,0.000102082,9.994655609,6.07485,6.07485
6.07495,0.000102077,9.994673729,6.07495,6.07495
6.07505,0.000100872,0.754706264,6.07505,6.07505
6.07515,4.48E-05,-0.000834466,6.07515,6.07515
6.07525,4.18E-05,-0.000482347,6.07525,6.07525
6.07535,4.13E-05,-0.000628852,6.07535,6.07535
6.07545,4.11E-05,-0.000684794,6.07545,6.07545
6.07555,4.11E-05,-0.000648696,6.07555,6.07555
6.07565,4.11E-05,-0.000694505,6.07565,6.07565
6.07575,4.11E-05,-0.000510635,6.07575,6.07575
6.07585,4.11E-05,-0.000552363,6.07585,6.07585
6.07595,4.11E-05,-0.000313887,6.07595,6.07595
6.07605,6.89E-05,9.229307175,6.07605,6.07605
6.07615,0.000101518,9.994908333,6.07615,6.07615
6.07625,0.000101899,9.994604111,6.07625,6.07625
6.07635,0.000102005,9.9947052,6.07635,6.07635
6.07645,0.000102065,9.994963646,6.07645,6.07645
6.07655,0.000102065,9.995100975,6.07655,6.07655
6.07665,0.000102044,9.99493885,6.07665,6.07665
6.07675,0.000102075,9.995083809,6.07675,6.07675
6.07685,0.000102071,9.994898796,6.07685,6.07685
6.07695,0.00010207,9.994882584,6.07695,6.07695
6.07705,0.000100865,0.774892747,6.07705,6.07705
6.07715,4.46E-05,-0.000953528,6.07715,6.07715
6.07725,4.16E-05,-0.000875631,6.07725,6.07725
6.07735,4.11E-05,-0.000590009,6.07735,6.07735
6.07745,4.09E-05,-0.000588743,6.07745,6.07745
6.07755,4.09E-05,-0.000817367,6.07755,6.07755
6.07765,4.09E-05,-0.000924818,6.07765,6.07765
6.07775,4.10E-05,-0.000722934,6.07775,6.07775
6.07785,4.10E-05,-0.000672199,6.07785,6.07785
6.07795,4.10E-05,-0.000678461,6.07795,6.07795
6.07805,6.88E-05,9.208964348,6.07805,6.07805
6.07815,0.000101531,9.994801521,6.07815,6.07815
6.07825,0.000101897,9.994498253,6.07825,6.07825
6.07835,0.000102021,9.994803429,6.07835,6.07835
6.07845,0.000102052,9.994706154,6.07845,6.07845
6.07855,0.000102034,9.994441032,6.07855,6.07855
6.07865,0.000102042,9.994279861,6.07865,6.07865
6.07875,0.000102022,9.994215965,6.07875,6.07875
6.07885,0.000102071,9.994395256,6.07885,6.07885
6.07895,0.000102066,9.994163513,6.07895,6.07895
6.07905,0.000100864,0.794680536,6.07905,6.07905
6.07915,4.45E-05,-0.001166813,6.07915,6.07915
6.07925,4.15E-05,-0.000997438,6.07925,6.07925
6.07935,4.10E-05,-0.001136766,6.07935,6.07935
6.07945,4.08E-05,-0.001222403,6.07945,6.07945
6.07955,4.08E-05,-0.001092856,6.07955,6.07955
6.07965,4.08E-05,-0.000968657,6.07965,6.07965
6.07975,4.08E-05,-0.001116781,6.07975,6.07975
6.07985,4.08E-05,-0.001062387,6.07985,6.07985
6.07995,4.08E-05,-0.001141691,6.07995,6.07995
6.08005,6.86E-05,9.188504219,6.08005,6.08005
6.08015,0.000101525,9.994063377,6.08015,6.08015
6.08025,0.000101894,9.994071007,6.08025,6.08025
6.08035,0.000101997,9.994065285,6.08035,6.08035
6.08045,0.000102059,9.993711472,6.08045,6.08045
6.08055,0.00010205,9.99402523,6.08055,6.08055
6.08065,0.000102073,9.994185448,6.08065,6.08065
6.08075,0.000102097,9.994265556,6.08075,6.08075
6.08085,0.000102092,9.994020462,6.08085,6.08085
6.08095,0.000102064,9.994362831,6.08095,6.08095
6.08105,0.000100837,0.814554811,6.08105,6.08105
6.08115,4.44E-05,-0.000650807,6.08115,6.08115
6.08125,4.14E-05,-0.000956554,6.08125,6.08125
6.08135,4.09E-05,-0.000910534,6.08135,6.08135
6.08145,4.07E-05,-0.000799494,6.08145,6.08145
6.08155,4.07E-05,-0.000901104,6.08155,6.08155
6.08165,4.07E-05,-0.000852762,6.08165,6.08165
6.08175,4.07E-05,-0.001189752,6.08175,6.08175
6.08185,4.07E-05,-0.000950643,6.08185,6.08185
6.08195,4.07E-05,-0.000824756,6.08195,6.08195
6.08205,6.84E-05,9.169092178,6.08205,6.08205
6.08215,0.000101507,9.994275093,6.08215,6.08215
6.08225,0.000101893,9.994317055,6.08225,6.08225
6.08235,0.000101997,9.994417191,6.08235,6.08235
6.08245,0.000102024,9.994408607,6.08245,6.08245
6.08255,0.000102019,9.994818687,6.08255,6.08255
6.08265,0.000102045,9.99417305,6.08265,6.08265
6.08275,0.000102049,9.994206429,6.08275,6.08275
6.08285,0.00010205,9.994612694,6.08285,6.08285
6.08295,0.000102059,9.994570732,6.08295,6.08295
6.08305,0.000100853,0.834375679,6.08305,6.08305
6.08315,4.43E-05,-0.001044303,6.08315,6.08315
6.08325,4.13E-05,-0.001046343,6.08325,6.08325
6.08335,4.08E-05,-0.001056406,6.08335,6.08335
6.08345,4.06E-05,-0.000999197,6.08345,6.08345
6.08355,4.05E-05,-0.001014889,6.08355,6.08355
6.08365,4.06E-05,-0.001057813,6.08365,6.08365
6.08375,4.06E-05,-0.000940651,6.08375,6.08375
6.08385,4.06E-05,-0.000708649,6.08385,6.08385
6.08395,4.06E-05,-0.000659673,6.08395,6.08395
6.08405,6.83E-05,9.148843765,6.08405,6.08405
6.08415,0.000101492,9.994379044,6.08415,6.08415
6.08425,0.000101881,9.994276047,6.08425,6.08425
6.08435,0.000102001,9.994318008,6.08435,6.08435
6.08445,0.000102048,9.994224548,6.08445,6.08445
6.08455,0.000102025,9.994281769,6.08455,6.08455
6.08465,0.00010203,9.994404793,6.08465,6.08465
6.08475,0.00010205,9.994141579,6.08475,6.08475
6.08485,0.00010207,9.994125366,6.08485,6.08485
6.08495,0.000102068,9.994294167,6.08495,6.08495
6.08505,0.00010085,0.85477221,6.08505,6.08505
6.08515,4.42E-05,-0.000657351,6.08515,6.08515
6.08525,4.12E-05,-0.000654325,6.08525,6.08525
6.08535,4.07E-05,-0.000526819,6.08535,6.08535
6.08545,4.05E-05,-0.000610908,6.08545,6.08545
6.08555,4.04E-05,-0.000679798,6.08555,6.08555
6.08565,4.04E-05,-0.000634974,6.08565,6.08565
6.08575,4.04E-05,-0.000607742,6.08575,6.08575
