Device ID,,,,
Remarks,_A5_234,,,
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.91085,8.47E-05,-0.000817086,5.91085,5.91085
5.91095,8.47E-05,-0.000983012,5.91095,5.91095
5.91105,8.47E-05,-0.000704286,5.91105,5.91105
5.91115,8.47E-05,-0.000864232,5.91115,5.91115
5.91125,8.47E-05,-0.000836296,5.91125,5.91125
5.91135,8.47E-05,-0.000808641,5.91135,5.91135
5.91145,8.47E-05,-0.000769236,5.91145,5.91145
5.91155,8.47E-05,-0.000635396,5.91155,5.91155
5.91165,8.47E-05,-0.000687187,5.91165,5.91165
5.91175,8.47E-05,-0.000872746,5.91175,5.91175
5.91185,8.47E-05,-0.000807516,5.91185,5.91185
5.91195,8.47E-05,-0.001200448,5.91195,5.91195
5.91205,8.47E-05,-0.001134021,5.91205,5.91205
5.91215,8.47E-05,-0.000999338,5.91215,5.91215
5.91225,8.47E-05,-0.00093094,5.91225,5.91225
5.91235,8.47E-05,-0.00089639,5.91235,5.91235
5.91245,8.47E-05,-0.00059782,5.91245,5.91245
5.91255,8.47E-05,-0.000528719,5.91255,5.91255
5.91265,8.47E-05,-0.000508664,5.91265,5.91265
5.91275,8.47E-05,-0.000580439,5.91275,5.91275
5.91285,8.47E-05,-0.000735318,5.91285,5.91285
5.91295,8.47E-05,-0.000590009,5.91295,5.91295
5.91305,8.47E-05,-0.000733207,5.91305,5.91305
5.91315,8.47E-05,-0.000704357,5.91315,5.91315
5.91325,8.47E-05,-0.000512675,5.91325,5.91325
5.91335,8.47E-05,-0.000436467,5.91335,5.91335
5.91345,8.47E-05,-0.000379188,5.91345,5.91345
5.91355,8.47E-05,-0.000559822,5.91355,5.91355
5.91365,8.47E-05,-0.000586139,5.91365,5.91365
5.91375,8.47E-05,-0.000579524,5.91375,5.91375
5.91385,8.46E-05,-0.000684583,5.91385,5.91385
5.91395,8.47E-05,-0.000599157,5.91395,5.91395
5.91405,8.47E-05,-0.000574528,5.91405,5.91405
5.91415,8.47E-05,-0.000530338,5.91415,5.91415
5.91425,8.47E-05,-0.000684161,5.91425,5.91425
5.91435,8.47E-05,-0.000724763,5.91435,5.91435
5.91445,8.47E-05,-0.000551659,5.91445,5.91445
5.91455,8.47E-05,-0.00054237,5.91455,5.91455
5.91465,8.47E-05,-0.000903004,5.91465,5.91465
5.91475,8.47E-05,-0.000814271,5.91475,5.91475
5.91485,8.47E-05,-0.000707664,5.91485,5.91485
5.91495,8.47E-05,-0.000382214,5.91495,5.91495
5.91505,8.47E-05,-0.000639337,5.91505,5.91505
5.91515,8.47E-05,-0.000784154,5.91515,5.91515
5.91525,8.47E-05,-0.000565944,5.91525,5.91525
5.91535,8.47E-05,-0.000856843,5.91535,5.91535
5.91545,8.47E-05,-0.000756077,5.91545,5.91545
5.91555,8.47E-05,-0.00072413,5.91555,5.91555
5.91565,8.47E-05,-0.000705975,5.91565,5.91565
5.91575,8.47E-05,-0.000778032,5.91575,5.91575
5.91585,8.48E-05,-0.001011793,5.91585,5.91585
5.91595,8.47E-05,-0.000728845,5.91595,5.91595
5.91605,8.47E-05,-0.001012919,5.91605,5.91605
5.91615,8.47E-05,-0.000918063,5.91615,5.91615
5.91625,8.47E-05,-0.000893646,5.91625,5.91625
5.91635,8.47E-05,-0.000870213,5.91635,5.91635
5.91645,8.47E-05,-0.001172864,5.91645,5.91645
5.91655,8.47E-05,-0.001013059,5.91655,5.91655
5.91665,8.47E-05,-0.001054717,5.91665,5.91665
5.91675,8.47E-05,-0.000684654,5.91675,5.91675
5.91685,8.47E-05,-0.000720893,5.91685,5.91685
5.91695,8.47E-05,-0.000669736,5.91695,5.91695
5.91705,8.47E-05,-0.000834466,5.91705,5.91705
5.91715,8.47E-05,-0.000453918,5.91715,5.91715
5.91725,8.47E-05,-0.000567914,5.91725,5.91725
5.91735,8.47E-05,-0.00051556,5.91735,5.91735
5.91745,8.47E-05,-0.000662769,5.91745,5.91745
5.91755,8.47E-05,-0.000625404,5.91755,5.91755
5.91765,8.47E-05,-0.000684513,5.91765,5.91765
5.91775,8.47E-05,-0.000675647,5.91775,5.91775
5.91785,8.47E-05,-0.000635819,5.91785,5.91785
5.91795,8.47E-05,-0.00071083,5.91795,5.91795
5.91805,8.47E-05,-0.00080639,5.91805,5.91805
5.91815,8.47E-05,-0.000838125,5.91815,5.91815
5.91825,8.47E-05,-0.0006285,5.91825,5.91825
5.91835,8.47E-05,-0.000727226,5.91835,5.91835
5.91845,8.47E-05,-0.0006475,5.91845,5.91845
5.91855,8.47E-05,-0.000698727,5.91855,5.91855
5.91865,8.47E-05,-0.000625334,5.91865,5.91865
5.91875,8.47E-05,-0.000723708,5.91875,5.91875
5.91885,8.47E-05,-0.000777891,5.91885,5.91885
5.91895,8.47E-05,-0.001027063,5.91895,5.91895
5.91905,8.47E-05,-0.001006234,5.91905,5.91905
5.91915,8.47E-05,-0.001028751,5.91915,5.91915
5.91925,8.47E-05,-0.00093854,5.91925,5.91925
5.91935,8.46E-05,-0.000812793,5.91935,5.91935
5.91945,8.47E-05,-0.000899345,5.91945,5.91945
5.91955,8.47E-05,-0.001029807,5.91955,5.91955
5.91965,8.47E-05,-0.001079557,5.91965,5.91965
5.91975,8.47E-05,-0.000692676,5.91975,5.91975
5.91985,8.47E-05,-0.000765295,5.91985,5.91985
5.91995,8.47E-05,-0.000992301,5.91995,5.91995
5.92005,8.47E-05,-0.000692676,5.92005,5.92005
5.92015,8.47E-05,-0.000913982,5.92015,5.92015
5.92025,8.47E-05,-0.000996101,5.92025,5.92025
5.92035,8.47E-05,-0.000916374,5.92035,5.92035
5.92045,8.47E-05,-0.00077381,5.92045,5.92045
5.92055,8.47E-05,-0.000861488,5.92055,5.92055
5.92065,8.47E-05,-0.000605842,5.92065,5.92065
5.92075,8.47E-05,-0.000718078,5.92075,5.92075
5.92085,8.47E-05,-0.000938822,5.92085,5.92085
5.92095,8.47E-05,-0.001045851,5.92095,5.92095
5.92105,8.47E-05,-0.001200589,5.92105,5.92105
5.92115,8.47E-05,-0.000993919,5.92115,5.92115
5.92125,8.47E-05,-0.00090596,5.92125,5.92125
5.92135,8.47E-05,-0.000922707,5.92135,5.92135
5.92145,8.47E-05,-0.00071083,5.92145,5.92145
5.92155,8.47E-05,-0.000831441,5.92155,5.92155
5.92165,8.47E-05,-0.000742003,5.92165,5.92165
5.92175,8.47E-05,-0.000851284,5.92175,5.92175
5.92185,8.47E-05,-0.001023544,5.92185,5.92185
5.92195,8.47E-05,-0.000786053,5.92195,5.92195
5.92205,8.47E-05,-0.000734404,5.92205,5.92205
5.92215,8.47E-05,-0.000943958,5.92215,5.92215
5.92225,8.47E-05,-0.001115937,5.92225,5.92225
5.92235,8.47E-05,-0.001025444,5.92235,5.92235
5.92245,8.47E-05,-0.000739611,5.92245,5.92245
5.92255,8.47E-05,-0.000844529,5.92255,5.92255
5.92265,8.47E-05,-0.001066468,5.92265,5.92265
5.92275,8.47E-05,-0.000843755,5.92275,5.92275
5.92285,8.47E-05,-0.001060487,5.92285,5.92285
5.92295,8.47E-05,-0.001175397,5.92295,5.92295
5.92305,8.47E-05,-0.0012065,5.92305,5.92305
5.92315,8.47E-05,-0.001450605,5.92315,5.92315
5.92325,8.47E-05,-0.001190597,5.92325,5.92325
5.92335,8.47E-05,-0.001086101,5.92335,5.92335
5.92345,8.47E-05,-0.001140143,5.92345,5.92345
5.92355,8.47E-05,-0.000819126,5.92355,5.92355
5.92365,8.47E-05,-0.000912574,5.92365,5.92365
5.92375,8.47E-05,-0.000937555,5.92375,5.92375
5.92385,8.47E-05,-0.000810964,5.92385,5.92385
5.92395,8.47E-05,-0.001079275,5.92395,5.92395
5.92405,8.47E-05,-0.001005319,5.92405,5.92405
5.92415,8.47E-05,-0.001078431,5.92415,5.92415
5.92425,8.47E-05,-0.001059291,5.92425,5.92425
5.92435,8.47E-05,-0.00122754,5.92435,5.92435
5.92445,8.47E-05,-0.00128883,5.92445,5.92445
5.92455,8.46E-05,-0.001261175,5.92455,5.92455
5.92465,8.46E-05,-0.001062528,5.92465,5.92465
5.92475,8.47E-05,-0.001308463,5.92475,5.92475
5.92485,8.47E-05,-0.001093701,5.92485,5.92485
5.92495,8.47E-05,-0.000987586,5.92495,5.92495
5.92505,8.47E-05,-0.00114908,5.92505,5.92505
5.92515,8.47E-05,-0.001256883,5.92515,5.92515
5.92525,8.47E-05,-0.001109463,5.92525,5.92525
5.92535,8.47E-05,-0.001228806,5.92535,5.92535
5.92545,8.47E-05,-0.001090112,5.92545,5.92545
5.92555,8.47E-05,-0.001135499,5.92555,5.92555
5.92565,8.47E-05,-0.001431606,5.92565,5.92565
5.92575,8.47E-05,-0.001181027,5.92575,5.92575
5.92585,8.47E-05,-0.001058587,5.92585,5.92585
5.92595,8.47E-05,-0.000894349,5.92595,5.92595
5.92605,8.47E-05,-0.000989275,5.92605,5.92605
5.92615,8.46E-05,-0.001117485,5.92615,5.92615
5.92625,8.47E-05,-0.000898219,5.92625,5.92625
5.92635,8.47E-05,-0.000628641,5.92635,5.92635
5.92645,8.47E-05,-0.000357093,5.92645,5.92645
5.92655,8.47E-05,-0.000476506,5.92655,5.92655
5.92665,8.47E-05,-0.000352237,5.92665,5.92665
5.92675,8.46E-05,-0.000785631,5.92675,5.92675
