Device ID,
Remarks,_A5_234
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.90005,2.6048703148E-05,-0.000465143559268,5.90005,5.90005
5.90015,2.604065412E-05,-0.000449592305813,5.90015,5.90015
5.90025,2.6063820769E-05,-0.000328348920448,5.90025,5.90025
5.90035,2.6047880965E-05,-0.000375143397832,5.90035,5.90035
5.90045,2.6036075724E-05,-0.000499271845911,5.90045,5.90045
5.90055,2.6063511541E-05,-0.000417575065512,5.90055,5.90055
5.90065,2.6054054615E-05,-0.000536707404535,5.90065,5.90065
5.90075,2.607818351E-05,-0.000518763670698,5.90075,5.90075
5.90085,2.6072517358E-05,-0.000670405861456,5.90085,5.90085
5.90095,2.605440568E-05,-0.000391609413782,5.90095,5.90095
5.90105,2.6066822102E-05,-0.000366488180589,5.90105,5.90105
5.90115,2.6072102628E-05,-0.00058687949786,5.90115,5.90115
5.90125,2.6065121347E-05,-0.000455151341157,5.90125,5.90125
5.90135,2.6077115763E-05,-0.0002674809366,5.90135,5.90135
5.90145,2.608480645E-05,-0.000152922482812,5.90145,5.90145
5.90155,2.6070512831E-05,-0.000120694123325,5.90155,5.90155
5.90165,2.6045216146E-05,-0.000368528824765,5.90165,5.90165
5.90175,2.6045645427E-05,-0.000460499286419,5.90175,5.90175
5.90185,2.6025691113E-05,-0.000520593253896,5.90185,5.90185
5.90195,2.6044323022E-05,-0.000500960682984,5.90195,5.90195
5.90205,2.6060641176E-05,-0.000590257172007,5.90205,5.90205
5.90215,2.6052886824E-05,-0.000625300221145,5.90215,5.90215
5.90225,2.6065325073E-05,-0.000101554134744,5.90225,5.90225
5.90235,2.6070991225E-05,-0.000346996355802,5.90235,5.90235
5.90245,2.6088913728E-05,-0.000501312490087,5.90245,5.90245
5.90255,2.6089081075E-05,-0.000434181798482,5.90255,5.90255
5.90265,2.6056282877E-05,-0.000403290439863,5.90265,5.90265
5.90275,2.6069177693E-05,-0.000365995598258,5.90275,5.90275
5.90285,2.6072382752E-05,-0.00037303235149,5.90285,5.90285
5.90295,2.6060621167E-05,-0.000451703352155,5.90295,5.90295
5.90305,2.6035640985E-05,-0.000521859852597,5.90305,5.90305
5.90315,2.6068137231E-05,-0.000307449750835,5.90315,5.90315
5.90325,2.6062160032E-05,-0.000159677772899,5.90325,5.90325
5.90335,2.6068024454E-05,-0.00032673048554,5.90335,5.90335
5.90345,2.6056452043E-05,-0.000233704500715,5.90345,5.90345
5.90355,2.6086094294E-05,-0.000208653626032,5.90355,5.90355
5.90365,2.6055988201E-05,-0.000347981491359,5.90365,5.90365
5.90375,2.6053681722E-05,-0.000368739943951,5.90375,5.90375
5.90385,2.6024054023E-05,-0.000464580603875,5.90385,5.90385
5.90395,2.6025361876E-05,-0.000331304356223,5.90395,5.90395
5.90405,2.6031899324E-05,-9.3954433396E-05,5.90405,5.90405
5.90415,2.6026142223E-05,-0.000385276332963,5.90415,5.90415
5.90425,2.60337074E-05,-0.000496527529322,5.90425,5.90425
5.90435,2.6072362743E-05,-0.000397942494601,5.90435,5.90435
5.90445,2.6033221729E-05,-0.000725433346815,5.90445,5.90445
5.90455,2.6053814508E-05,-0.000483790965518,5.90455,5.90455
5.90465,2.603959183E-05,-0.000337215256877,5.90465,5.90465
5.90475,2.6032834285E-05,-0.000183180556633,5.90475,5.90475
5.90485,2.6025585612E-05,-0.000565909955185,5.90485,5.90485
5.90495,2.6037356292E-05,-0.000631492584944,5.90495,5.90495
5.90505,2.6062569304E-05,-0.000484002084704,5.90505,5.90505
5.90515,2.6045961931E-05,-0.000481257739011,5.90515,5.90515
5.90525,2.6029889341E-05,-0.000380983896321,5.90525,5.90525
5.90535,2.6047549909E-05,-0.000605104723945,5.90535,5.90535
5.90545,2.6020235964E-05,-0.000656543415971,5.90545,5.90545
5.90555,2.6033410904E-05,-0.00072958500823,5.90555,5.90555
5.90565,2.6013703973E-05,-0.000610593415331,5.90565,5.90565
5.90575,2.6009014618E-05,-0.000581531552598,5.90575,5.90575
