A2_LTP,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.90955,4.61E-07,-0.000642789,,,,,,,,,,,,,,
5.90965,4.61E-07,-0.000809559,,,,,,,,,,,,,,
5.90975,4.62E-07,-0.000721178,,,,,,,,,,,,,,
5.90985,4.62E-07,-0.000927635,,,,,,,,,,,,,,
5.90995,4.62E-07,-0.001045077,,,,,,,,,,,,,,
5.91005,4.62E-07,-0.000933827,,,,,,,,,,,,,,
5.91015,4.62E-07,-0.000864586,,,,,,,,,,,,,,
5.91025,4.62E-07,-0.000672202,,,,,,,,,,,,,,
5.91035,4.62E-07,-0.000522672,,,,,,,,,,,,,,
5.91045,4.62E-07,-0.000860223,,,,,,,,,,,,,,
5.91055,4.62E-07,-0.000844461,,,,,,,,,,,,,,
5.91065,4.62E-07,-0.000833976,,,,,,,,,,,,,,
5.91075,4.62E-07,-0.000915039,,,,,,,,,,,,,,
5.91085,4.62E-07,-0.000657144,,,,,,,,,,,,,,
5.91095,4.62E-07,-0.000765157,,,,,,,,,,,,,,
5.91105,4.62E-07,-0.000922568,,,,,,,,,,,,,,
5.91115,4.62E-07,-0.000783171,,,,,,,,,,,,,,
5.91125,4.62E-07,-0.000588606,,,,,,,,,,,,,,
5.91135,4.62E-07,-0.000886822,,,,,,,,,,,,,,
5.91145,4.62E-07,-0.000945578,,,,,,,,,,,,,,
5.91155,4.62E-07,-0.000940441,,,,,,,,,,,,,,
5.91165,4.62E-07,-0.000727651,,,,,,,,,,,,,,
5.91175,4.62E-07,-0.00079063,,,,,,,,,,,,,,
5.91185,4.62E-07,-0.000702249,,,,,,,,,,,,,,
5.91195,4.62E-07,-0.000922568,,,,,,,,,,,,,,
5.91205,4.62E-07,-0.00090188,,,,,,,,,,,,,,
5.91215,4.62E-07,-0.00086733,,,,,,,,,,,,,,
5.91225,4.62E-07,-0.000747425,,,,,,,,,,,,,,
5.91235,4.61E-07,-0.000672202,,,,,,,,,,,,,,
5.91245,4.62E-07,-0.000798511,,,,,,,,,,,,,,
5.91255,4.62E-07,-0.000919261,,,,,,,,,,,,,,
5.91265,4.62E-07,-0.000964718,,,,,,,,,,,,,,
5.91275,4.62E-07,-0.000805829,,,,,,,,,,,,,,
5.91285,4.62E-07,-0.000964788,,,,,,,,,,,,,,
5.91295,4.62E-07,-0.000761146,,,,,,,,,,,,,,
5.91305,4.62E-07,-0.000562993,,,,,,,,,,,,,,
5.91315,4.62E-07,-0.000576292,,,,,,,,,,,,,,
5.91325,4.62E-07,-0.000640819,,,,,,,,,,,,,,
5.91335,4.62E-07,-0.000627519,,,,,,,,,,,,,,
5.91345,4.62E-07,-0.00052422,,,,,,,,,,,,,,
5.91355,4.62E-07,-0.000596839,,,,,,,,,,,,,,
5.91365,4.62E-07,-0.000396856,,,,,,,,,,,,,,
5.91375,4.62E-07,-0.00080597,,,,,,,,,,,,,,
