A2_LTD,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.90955,2.66E-06,-0.002817024,,,,,,,,,,,,,,
5.90965,2.66E-06,-0.002532108,,,,,,,,,,,,,,
5.90975,2.66E-06,-0.002771497,,,,,,,,,,,,,,
5.90985,2.66E-06,-0.003101799,,,,,,,,,,,,,,
5.90995,2.66E-06,-0.002628159,,,,,,,,,,,,,,
5.91005,2.66E-06,-0.00267446,,,,,,,,,,,,,,
5.91015,2.66E-06,-0.002741591,,,,,,,,,,,,,,
5.91025,2.66E-06,-0.002667705,,,,,,,,,,,,,,
5.91035,2.66E-06,-0.002693882,,,,,,,,,,,,,,
5.91045,2.66E-06,-0.002738635,,,,,,,,,,,,,,
5.91055,2.66E-06,-0.002691208,,,,,,,,,,,,,,
5.91065,2.66E-06,-0.002788103,,,,,,,,,,,,,,
5.91075,2.66E-06,-0.002599379,,,,,,,,,,,,,,
5.91085,2.66E-06,-0.002725547,,,,,,,,,,,,,,
5.91095,2.66E-06,-0.002733498,,,,,,,,,,,,,,
5.91105,2.66E-06,-0.002665524,,,,,,,,,,,,,,
5.91115,2.66E-06,-0.002583194,,,,,,,,,,,,,,
5.91125,2.66E-06,-0.002703944,,,,,,,,,,,,,,
5.91135,2.66E-06,-0.002731317,,,,,,,,,,,,,,
5.91145,2.66E-06,-0.002689026,,,,,,,,,,,,,,
5.91155,2.66E-06,-0.002525845,,,,,,,,,,,,,,
5.91165,2.66E-06,-0.002470396,,,,,,,,,,,,,,
5.91175,2.66E-06,-0.002494602,,,,,,,,,,,,,,
5.91185,2.66E-06,-0.00274525,,,,,,,,,,,,,,
5.91195,2.66E-06,-0.002630551,,,,,,,,,,,,,,
5.91205,2.66E-06,-0.002659613,,,,,,,,,,,,,,
5.91215,2.66E-06,-0.002546463,,,,,,,,,,,,,,
5.91225,2.66E-06,-0.002611623,,,,,,,,,,,,,,
5.91235,2.66E-06,-0.00273772,,,,,,,,,,,,,,
5.91245,2.66E-06,-0.002530067,,,,,,,,,,,,,,
5.91255,2.66E-06,-0.002703311,,,,,,,,,,,,,,
5.91265,2.66E-06,-0.002514657,,,,,,,,,,,,,,
5.91275,2.66E-06,-0.002356753,,,,,,,,,,,,,,
5.91285,2.66E-06,-0.002287442,,,,,,,,,,,,,,
