Device ID,
Remarks,_A3_228
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.91025,1.3225619114E-05,-0.000129278967506,5.91025,5.91025
5.91035,1.322755179E-05,-7.6643998909E-05,5.91035,5.91035
5.91045,1.3251449673E-05,-0.000356918171747,5.91045,5.91045
5.91055,1.3274110643E-05,-0.000143000652315,5.91055,5.91055
5.91065,1.3227208001E-05,-0.000220053174417,5.91065,5.91065
5.91075,1.3267051145E-05,-0.000345448264852,5.91075,5.91075
5.91085,1.3226940609E-05,-0.000405471830163,5.91085,5.91085
5.91095,1.3226511328E-05,-2.1827632736E-05,5.91095,5.91095
5.91105,1.3254438272E-05,-6.3203784521E-05,5.91105,5.91105
5.91115,1.3273963305E-05,-4.04750499E-05,5.91115,5.91115
5.91125,1.3243646208E-05,-0.000112109271868,5.91125,5.91125
5.91135,1.3245052287E-05,-0.000165166449733,5.91135,5.91135
5.91145,1.3243652575E-05,-0.000175440116436,5.91145,5.91145
5.91155,1.3245086848E-05,-0.000192891282495,5.91155,5.91155
5.91165,1.3244166439E-05,0.000128618310555,5.91165,5.91165
5.91175,1.3250753909E-05,-2.3938660888E-05,5.91175,5.91175
5.91185,1.3245305126E-05,-0.000138356394018,5.91185,5.91185
5.91195,1.3260062588E-05,-0.000127519771922,5.91195,5.91195
5.91205,1.3255373233E-05,-0.000142719174619,5.91205,5.91205
5.91215,1.3264885638E-05,8.4005245299E-05,5.91215,5.91215
5.91225,1.3275685887E-05,-0.000315823504934,5.91225,5.91225
5.91235,1.3254093574E-05,-0.000278176827123,5.91235,5.91235
5.91245,1.3283897715E-05,-0.000116823903227,5.91245,5.91245
5.91255,1.3272529031E-05,-0.000358255172614,5.91255,5.91255
5.91265,1.3253643374E-05,-0.000162562850164,5.91265,5.91265
5.91275,1.3223650058E-05,-6.0881655372E-05,5.91275,5.91275
5.91285,1.3245607079E-05,-0.000262766319793,5.91285,5.91285
5.91295,1.3257067621E-05,-0.000138567498652,5.91295,5.91295
5.91305,1.3230968761E-05,-2.1686897526E-05,5.91305,5.91305
5.91315,1.3243386093E-05,-0.000120412652905,5.91315,5.91315
5.91325,1.3273364857E-05,-0.000392735295463,5.91325,5.91325
5.91335,1.3247091374E-05,-0.00016446277732,5.91335,5.91335
5.91345,1.3261236745E-05,4.2066152673E-05,5.91345,5.91345
5.91355,1.3260379092E-05,8.5201492766E-05,5.91355,5.91355
