A1_LTP,,,,,,,,,,,,,,,,
5.90395,1.12E-06,-0.001494793,,,,,,,,,,,,,,
5.90405,1.12E-06,-0.001505629,,,,,,,,,,,,,,
5.90415,1.09E-06,-0.001341533,,,,,,,,,,,,,,
5.90425,1.08E-06,-0.001613221,,,,,,,,,,,,,,
5.90435,1.10E-06,-0.001567975,,,,,,,,,,,,,,
5.90445,1.09E-06,-0.001642001,,,,,,,,,,,,,,
5.90455,1.10E-06,-0.001491415,,,,,,,,,,,,,,
5.90465,1.13E-06,-0.001417108,,,,,,,,,,,,,,
5.90475,1.14E-06,-0.001367428,,,,,,,,,,,,,,
5.90485,1.09E-06,-0.001221135,,,,,,,,,,,,,,
5.90495,1.07E-06,-0.001274614,,,,,,,,,,,,,,
5.90505,1.07E-06,-0.001262089,,,,,,,,,,,,,,
5.90515,1.08E-06,-0.001119596,,,,,,,,,,,,,,
5.90525,1.08E-06,-0.001340689,,,,,,,,,,,,,,
5.90535,1.09E-06,-0.001331682,,,,,,,,,,,,,,
5.90545,1.10E-06,-0.00131592,,,,,,,,,,,,,,
5.90555,1.10E-06,-0.001334004,,,,,,,,,,,,,,
5.90565,1.12E-06,-0.001389031,,,,,,,,,,,,,,
5.90575,1.09E-06,-0.001563682,,,,,,,,,,,,,,
5.90585,1.08E-06,-0.001354692,,,,,,,,,,,,,,
5.90595,1.08E-06,-0.001229017,,,,,,,,,,,,,,
5.90605,1.07E-06,-0.001539335,,,,,,,,,,,,,,
5.90615,1.07E-06,-0.001272644,,,,,,,,,,,,,,
5.90625,1.10E-06,-0.001477623,,,,,,,,,,,,,,
5.90635,1.09E-06,-0.001311698,,,,,,,,,,,,,,
5.90645,1.08E-06,-0.001280596,,,,,,,,,,,,,,
5.90655,1.08E-06,-0.001249634,,,,,,,,,,,,,,
5.90665,1.09E-06,-0.00149226,,,,,,,,,,,,,,
5.90675,1.07E-06,-0.00150197,,,,,,,,,,,,,,
5.90685,1.08E-06,-0.001336819,,,,,,,,,,,,,,
5.90695,1.11E-06,-0.001260119,,,,,,,,,,,,,,
5.90705,1.10E-06,-0.001469742,,,,,,,,,,,,,,
5.90715,1.11E-06,-0.001502955,,,,,,,,,,,,,,
5.90725,1.10E-06,-0.001721445,,,,,,,,,,,,,,
5.90735,1.12E-06,-0.00168985,,,,,,,,,,,,,,
5.90745,1.10E-06,-0.001424004,,,,,,,,,,,,,,
5.90755,1.11E-06,-0.001104185,,,,,,,,,,,,,,
5.90765,1.12E-06,-0.001155764,,,,,,,,,,,,,,
5.90775,1.13E-06,-0.001048807,,,,,,,,,,,,,,
5.90785,1.12E-06,-0.001159635,,,,,,,,,,,,,,
5.90795,1.12E-06,-0.001313809,,,,,,,,,,,,,,
5.90805,1.10E-06,-0.00128714,,,,,,,,,,,,,,
5.90815,1.10E-06,-0.001427733,,,,,,,,,,,,,,
5.90825,1.09E-06,-0.001402331,,,,,,,,,,,,,,
5.90835,1.09E-06,-0.001232465,,,,,,,,,,,,,,
5.90845,1.09E-06,-0.001029878,,,,,,,,,,,,,,
5.90855,1.09E-06,-0.000909128,,,,,,,,,,,,,,
5.90865,1.10E-06,-0.001088212,,,,,,,,,,,,,,
5.90875,1.12E-06,-0.001175045,,,,,,,,,,,,,,
5.90885,1.11E-06,-0.001263567,,,,,,,,,,,,,,
5.90895,1.11E-06,-0.001140143,,,,,,,,,,,,,,
5.90905,1.12E-06,-0.000961129,,,,,,,,,,,,,,
5.90915,1.14E-06,-0.000940653,,,,,,,,,,,,,,
5.90925,1.15E-06,-0.001025797,,,,,,,,,,,,,,
5.90935,1.12E-06,-0.000869441,,,,,,,,,,,,,,
5.90945,1.15E-06,-0.001002716,,,,,,,,,,,,,,
5.90955,1.09E-06,-0.000940793,,,,,,,,,,,,,,
5.90965,1.10E-06,-0.001084061,,,,,,,,,,,,,,
5.90975,1.12E-06,-0.001232465,,,,,,,,,,,,,,
5.90985,1.11E-06,-0.001533002,,,,,,,,,,,,,,
5.90995,1.11E-06,-0.001469038,,,,,,,,,,,,,,
5.91005,1.11E-06,-0.001294388,,,,,,,,,,,,,,
5.91015,1.11E-06,-0.001481986,,,,,,,,,,,,,,
5.91025,1.08E-06,-0.001147109,,,,,,,,,,,,,,
5.91035,1.12E-06,-0.001013201,,,,,,,,,,,,,,
5.91045,1.12E-06,-0.001256389,,,,,,,,,,,,,,
5.91055,1.11E-06,-0.001053099,,,,,,,,,,,,,,
5.91065,1.09E-06,-0.001006375,,,,,,,,,,,,,,
5.91075,1.09E-06,-0.000911943,,,,,,,,,,,,,,
5.91085,1.08E-06,-0.000933194,,,,,,,,,,,,,,
5.91095,1.08E-06,-0.000736729,,,,,,,,,,,,,,
5.91105,1.09E-06,-0.000781904,,,,,,,,,,,,,,
5.91115,1.13E-06,-0.000969081,,,,,,,,,,,,,,
5.91125,1.08E-06,-0.00060092,,,,,,,,,,,,,,
5.91135,1.10E-06,-0.000832428,,,,,,,,,,,,,,
5.91145,1.11E-06,-0.001239642,,,,,,,,,,,,,,
5.91155,1.11E-06,-0.001031919,,,,,,,,,,,,,,
5.91165,1.08E-06,-0.000971544,,,,,,,,,,,,,,
5.91175,1.11E-06,-0.000957611,,,,,,,,,,,,,,
5.91185,1.12E-06,-0.00112044,,,,,,,,,,,,,,
5.91195,1.09E-06,-0.001464746,,,,,,,,,,,,,,
5.91205,1.10E-06,-0.000916376,,,,,,,,,,,,,,
5.91215,1.11E-06,-0.000963944,,,,,,,,,,,,,,
5.91225,1.11E-06,-0.001084131,,,,,,,,,,,,,,
5.91235,1.12E-06,-0.001139299,,,,,,,,,,,,,,
5.91245,1.12E-06,-0.001234153,,,,,,,,,,,,,,
5.91255,1.14E-06,-0.001124662,,,,,,,,,,,,,,
5.91265,1.17E-06,-0.001168149,,,,,,,,,,,,,,
5.91275,1.14E-06,-0.00113768,,,,,,,,,,,,,,
5.91285,1.13E-06,-0.00120277,,,,,,,,,,,,,,
5.91295,1.14E-06,-0.001283058,,,,,,,,,,,,,,
5.91305,1.13E-06,-0.001270885,,,,,,,,,,,,,,
5.91315,1.13E-06,-0.001244708,,,,,,,,,,,,,,
5.91325,1.13E-06,-0.001244427,,,,,,,,,,,,,,
5.91335,1.13E-06,-0.001157101,,,,,,,,,,,,,,
5.91345,1.12E-06,-0.001238727,,,,,,,,,,,,,,
5.91355,1.14E-06,-0.00097464,,,,,,,,,,,,,,
5.91365,1.13E-06,-0.001271237,,,,,,,,,,,,,,
5.91375,1.11E-06,-0.001016579,,,,,,,,,,,,,,
5.91385,1.13E-06,-0.001272714,,,,,,,,,,,,,,
5.91395,1.12E-06,-0.001045077,,,,,,,,,,,,,,
5.91405,1.11E-06,-0.001055773,,,,,,,,,,,,,,
5.91415,1.09E-06,-0.000965422,,,,,,,,,,,,,,
5.91425,1.13E-06,-0.001152457,,,,,,,,,,,,,,
5.91435,1.09E-06,-0.001139791,,,,,,,,,,,,,,
5.91445,1.10E-06,-0.001293965,,,,,,,,,,,,,,
5.91455,1.10E-06,-0.001279822,,,,,,,,,,,,,,
5.91465,1.11E-06,-0.001295725,,,,,,,,,,,,,,
5.91475,1.12E-06,-0.00129495,,,,,,,,,,,,,,
5.91485,1.13E-06,-0.001174693,,,,,,,,,,,,,,
5.91495,1.11E-06,-0.001039448,,,,,,,,,,,,,,
5.91505,1.10E-06,-0.001257374,,,,,,,,,,,,,,
5.91515,1.11E-06,-0.001261034,,,,,,,,,,,,,,
5.91525,1.13E-06,-0.001170612,,,,,,,,,,,,,,
5.91535,1.13E-06,-0.001175045,,,,,,,,,,,,,,
5.91545,1.11E-06,-0.001348148,,,,,,,,,,,,,,
5.91555,1.12E-06,-0.001442932,,,,,,,,,,,,,,
5.91565,1.13E-06,-0.001237038,,,,,,,,,,,,,,
5.91575,1.09E-06,-0.001406482,,,,,,,,,,,,,,
5.91585,1.09E-06,-0.00128151,,,,,,,,,,,,,,
5.91595,1.10E-06,-0.001403527,,,,,,,,,,,,,,
5.91605,1.10E-06,-0.000973725,,,,,,,,,,,,,,
5.91615,1.08E-06,-0.00107048,,,,,,,,,,,,,,
5.91625,1.09E-06,-0.001078924,,,,,,,,,,,,,,
5.91635,1.13E-06,-0.001122692,,,,,,,,,,,,,,
5.91645,1.12E-06,-0.001168923,,,,,,,,,,,,,,
5.91655,1.11E-06,-0.001271729,,,,,,,,,,,,,,
5.91665,1.11E-06,-0.001143169,,,,,,,,,,,,,,
5.91675,1.11E-06,-0.001028682,,,,,,,,,,,,,,
5.91685,1.10E-06,-0.001222261,,,,,,,,,,,,,,
5.91695,1.12E-06,-0.001189611,,,,,,,,,,,,,,
5.91705,1.14E-06,-0.001402049,,,,,,,,,,,,,,
5.91715,1.10E-06,-0.001262511,,,,,,,,,,,,,,
5.91725,1.12E-06,-0.001035015,,,,,,,,,,,,,,
5.91735,1.15E-06,-0.001077446,,,,,,,,,,,,,,
5.91745,1.15E-06,-0.001286647,,,,,,,,,,,,,,
5.91755,1.12E-06,-0.001066821,,,,,,,,,,,,,,
5.91765,1.11E-06,-0.000955289,,,,,,,,,,,,,,
5.91775,1.11E-06,-0.000987024,,,,,,,,,,,,,,
5.91785,1.13E-06,-0.001159846,,,,,,,,,,,,,,
5.91795,1.12E-06,-0.001415208,,,,,,,,,,,,,,
5.91805,1.11E-06,-0.001119596,,,,,,,,,,,,,,
5.91815,1.09E-06,-0.001030863,,,,,,,,,,,,,,
5.91825,1.12E-06,-0.001276162,,,,,,,,,,,,,,
5.91835,1.12E-06,-0.001218813,,,,,,,,,,,,,,
5.91845,1.13E-06,-0.001136554,,,,,,,,,,,,,,
5.91855,1.11E-06,-0.001123044,,,,,,,,,,,,,,
5.91865,1.12E-06,-0.001160198,,,,,,,,,,,,,,
5.91875,1.14E-06,-0.001348781,,,,,,,,,,,,,,
5.91885,1.13E-06,-0.001516044,,,,,,,,,,,,,,
5.91895,1.13E-06,-0.001444973,,,,,,,,,,,,,,
5.91905,1.11E-06,-0.001418726,,,,,,,,,,,,,,
5.91915,1.11E-06,-0.001440258,,,,,,,,,,,,,,
5.91925,1.12E-06,-0.00113951,,,,,,,,,,,,,,
5.91935,1.11E-06,-0.001095741,,,,,,,,,,,,,,
5.91945,1.09E-06,-0.001000746,,,,,,,,,,,,,,
5.91955,1.08E-06,-0.00118567,,,,,,,,,,,,,,
5.91965,1.07E-06,-0.000993146,,,,,,,,,,,,,,
5.91975,1.09E-06,-0.000732648,,,,,,,,,,,,,,
5.91985,1.11E-06,-0.000962396,,,,,,,,,,,,,,
5.91995,1.12E-06,-0.000735814,,,,,,,,,,,,,,
5.92005,1.13E-06,-0.001080472,,,,,,,,,,,,,,
5.92015,1.12E-06,-0.001040503,,,,,,,,,,,,,,
5.92025,1.12E-06,-0.000826517,,,,,,,,,,,,,,
5.92035,1.13E-06,-0.001035578,,,,,,,,,,,,,,
5.92045,1.14E-06,-0.001301987,,,,,,,,,,,,,,
5.92055,1.10E-06,-0.001077587,,,,,,,,,,,,,,
5.92065,1.14E-06,-0.001112981,,,,,,,,,,,,,,
5.92075,1.11E-06,-0.001297061,,,,,,,,,,,,,,
5.92085,1.10E-06,-0.001232957,,,,,,,,,,,,,,
5.92095,1.10E-06,-0.001178493,,,,,,,,,,,,,,
5.92105,1.11E-06,-0.001145843,,,,,,,,,,,,,,
5.92115,1.12E-06,-0.001061402,,,,,,,,,,,,,,
5.92125,1.09E-06,-0.001168712,,,,,,,,,,,,,,
5.92135,1.08E-06,-0.001096164,,,,,,,,,,,,,,
5.92145,1.09E-06,-0.001056547,,,,,,,,,,,,,,
5.92155,1.10E-06,-0.001557912,,,,,,,,,,,,,,
5.92165,1.09E-06,-0.001463409,,,,,,,,,,,,,,
5.92175,1.10E-06,-0.001339282,,,,,,,,,,,,,,
5.92185,1.11E-06,-0.00144448,,,,,,,,,,,,,,
5.92195,1.10E-06,-0.001388327,,,,,,,,,,,,,,
5.92205,1.13E-06,-0.001501196,,,,,,,,,,,,,,
5.92215,1.12E-06,-0.001244357,,,,,,,,,,,,,,
5.92225,1.09E-06,-0.001017845,,,,,,,,,,,,,,
5.92235,1.10E-06,-0.000868737,,,,,,,,,,,,,,
5.92245,1.10E-06,-0.00140613,,,,,,,,,,,,,,
5.92255,1.12E-06,-0.001302902,,,,,,,,,,,,,,
5.92265,1.12E-06,-0.001402049,,,,,,,,,,,,,,
5.92275,1.12E-06,-0.001378265,,,,,,,,,,,,,,
5.92285,1.15E-06,-0.001284747,,,,,,,,,,,,,,
5.92295,1.13E-06,-0.001400431,,,,,,,,,,,,,,
5.92305,1.14E-06,-0.001144928,,,,,,,,,,,,,,
5.92315,1.11E-06,-0.00131592,,,,,,,,,,,,,,
5.92325,1.08E-06,-0.001534339,,,,,,,,,,,,,,
5.92335,1.10E-06,-0.001475512,,,,,,,,,,,,,,
5.92345,1.10E-06,-0.001429422,,,,,,,,,,,,,,
5.92355,1.10E-06,-0.001302409,,,,,,,,,,,,,,
5.92365,1.11E-06,-0.001178493,,,,,,,,,,,,,,
5.92375,1.13E-06,-0.001368977,,,,,,,,,,,,,,
5.92385,1.14E-06,-0.00148459,,,,,,,,,,,,,,
5.92395,1.13E-06,-0.001347585,,,,,,,,,,,,,,
5.92405,1.13E-06,-0.001405849,,,,,,,,,,,,,,
5.92415,1.13E-06,-0.001462143,,,,,,,,,,,,,,
5.92425,1.15E-06,-0.001533424,,,,,,,,,,,,,,
5.92435,1.14E-06,-0.001509429,,,,,,,,,,,,,,
5.92445,1.15E-06,-0.001587607,,,,,,,,,,,,,,
5.92455,1.16E-06,-0.001454473,,,,,,,,,,,,,,
5.92465,1.16E-06,-0.001401345,,,,,,,,,,,,,,
5.92475,1.15E-06,-0.001422174,,,,,,,,,,,,,,
5.92485,1.14E-06,-0.001762258,,,,,,,,,,,,,,
5.92495,1.14E-06,-0.001569945,,,,,,,,,,,,,,
5.92505,1.14E-06,-0.001709201,,,,,,,,,,,,,,
5.92515,1.11E-06,-0.001703572,,,,,,,,,,,,,,
5.92525,1.12E-06,-0.001842687,,,,,,,,,,,,,,
5.92535,1.12E-06,-0.001826503,,,,,,,,,,,,,,
5.92545,1.11E-06,-0.002067229,,,,,,,,,,,,,,
5.92555,1.11E-06,-0.001806308,,,,,,,,,,,,,,
5.92565,1.13E-06,-0.001813907,,,,,,,,,,,,,,
5.92575,1.10E-06,-0.001550523,,,,,,,,,,,,,,
5.92585,1.10E-06,-0.001702868,,,,,,,,,,,,,,
5.92595,1.10E-06,-0.001536943,,,,,,,,,,,,,,
5.92605,1.10E-06,-0.001845713,,,,,,,,,,,,,,
5.92615,1.13E-06,-0.001610335,,,,,,,,,,,,,,
5.92625,1.13E-06,-0.001417741,,,,,,,,,,,,,,
5.92635,1.07E-06,-0.001296428,,,,,,,,,,,,,,
5.92645,1.10E-06,-0.00149993,,,,,,,,,,,,,,
5.92655,1.10E-06,-0.001623213,,,,,,,,,,,,,,
5.92665,1.09E-06,-0.001475794,,,,,,,,,,,,,,
5.92675,1.08E-06,-0.001487686,,,,,,,,,,,,,,
5.92685,1.10E-06,-0.0014271,,,,,,,,,,,,,,
5.92695,1.09E-06,-0.001449899,,,,,,,,,,,,,,
5.92705,1.07E-06,-0.001242105,,,,,,,,,,,,,,
5.92715,1.08E-06,-0.001736504,,,,,,,,,,,,,,
5.92725,1.10E-06,-0.001375802,,,,,,,,,,,,,,
5.92735,1.10E-06,-0.001410141,,,,,,,,,,,,,,
5.92745,1.07E-06,-0.001079557,,,,,,,,,,,,,,
5.92755,1.08E-06,-0.001303183,,,,,,,,,,,,,,
5.92765,1.09E-06,-0.001277359,,,,,,,,,,,,,,
5.92775,1.09E-06,-0.001529062,,,,,,,,,,,,,,
5.92785,1.07E-06,-0.00151921,,,,,,,,,,,,,,
5.92795,1.10E-06,-0.0015767,,,,,,,,,,,,,,
5.92805,1.11E-06,-0.001310713,,,,,,,,,,,,,,
5.92815,1.10E-06,-0.001535887,,,,,,,,,,,,,,
5.92825,1.08E-06,-0.001712016,,,,,,,,,,,,,,
5.92835,1.07E-06,-0.001677043,,,,,,,,,,,,,,
5.92845,1.09E-06,-0.001615613,,,,,,,,,,,,,,
5.92855,1.10E-06,-0.001799904,,,,,,,,,,,,,,
5.92865,1.12E-06,-0.001692876,,,,,,,,,,,,,,
5.92875,1.11E-06,-0.001454473,,,,,,,,,,,,,,
5.92885,1.09E-06,-0.001302339,,,,,,,,,,,,,,
5.92895,1.10E-06,-0.001611039,,,,,,,,,,,,,,
5.92905,1.10E-06,-0.001770843,,,,,,,,,,,,,,
5.92915,1.11E-06,-0.001675918,,,,,,,,,,,,,,
5.92925,1.10E-06,-0.001540954,,,,,,,,,,,,,,
5.92935,1.09E-06,-0.001584581,,,,,,,,,,,,,,
5.92945,1.11E-06,-0.001494652,,,,,,,,,,,,,,
5.92955,1.09E-06,-0.001416263,,,,,,,,,,,,,,
5.92965,1.09E-06,-0.001562978,,,,,,,,,,,,,,
5.92975,1.11E-06,-0.001453347,,,,,,,,,,,,,,
5.92985,1.09E-06,-0.001646363,,,,,,,,,,,,,,
5.92995,1.11E-06,-0.001769506,,,,,,,,,,,,,,
5.93005,1.11E-06,-0.001956471,,,,,,,,,,,,,,
5.93015,1.10E-06,-0.002021842,,,,,,,,,,,,,,
5.93025,1.09E-06,-0.001272503,,,,,,,,,,,,,,
5.93035,1.10E-06,-0.001240486,,,,,,,,,,,,,,
5.93045,1.07E-06,-0.001506403,,,,,,,,,,,,,,
5.93055,1.10E-06,-0.001305857,,,,,,,,,,,,,,
5.93065,1.09E-06,-0.001512033,,,,,,,,,,,,,,
5.93075,1.09E-06,-0.00152301,,,,,,,,,,,,,,
5.93085,1.08E-06,-0.001484378,,,,,,,,,,,,,,
5.93095,1.07E-06,-0.001354551,,,,,,,,,,,,,,
5.93105,1.11E-06,-0.001627364,,,,,,,,,,,,,,
5.93115,1.11E-06,-0.001760499,,,,,,,,,,,,,,
5.93125,1.08E-06,-0.001647489,,,,,,,,,,,,,,
5.93135,1.10E-06,-0.001291784,,,,,,,,,,,,,,
5.93145,1.08E-06,-0.001424285,,,,,,,,,,,,,,
5.93155,1.09E-06,-0.001648545,,,,,,,,,,,,,,
5.93165,1.07E-06,-0.001520406,,,,,,,,,,,,,,
5.93175,1.06E-06,-0.001887511,,,,,,,,,,,,,,
5.93185,1.07E-06,-0.001675777,,,,,,,,,,,,,,
5.93195,1.07E-06,-0.001327671,,,,,,,,,,,,,,
5.93205,1.07E-06,-0.001595066,,,,,,,,,,,,,,
5.93215,1.09E-06,-0.00150197,,,,,,,,,,,,,,
5.93225,1.11E-06,-0.001257937,,,,,,,,,,,,,,
5.93235,1.08E-06,-0.001289321,,,,,,,,,,,,,,
5.93245,1.12E-06,-0.001345544,,,,,,,,,,,,,,
5.93255,1.09E-06,-0.001405356,,,,,,,,,,,,,,
5.93265,1.08E-06,-0.001434699,,,,,,,,,,,,,,
5.93275,1.10E-06,-0.001127829,,,,,,,,,,,,,,
5.93285,1.10E-06,-0.001274755,,,,,,,,,,,,,,
5.93295,1.08E-06,-0.00135807,,,,,,,,,,,,,,
5.93305,1.08E-06,-0.001418304,,,,,,,,,,,,,,
5.93315,1.10E-06,-0.00149226,,,,,,,,,,,,,,
5.93325,1.09E-06,-0.001320564,,,,,,,,,,,,,,
5.93335,1.07E-06,-0.001539898,,,,,,,,,,,,,,
5.93345,1.06E-06,-0.001507107,,,,,,,,,,,,,,
5.93355,1.06E-06,-0.00151731,,,,,,,,,,,,,,
5.93365,1.06E-06,-0.001501618,,,,,,,,,,,,,,
5.93375,1.06E-06,-0.001484871,,,,,,,,,,,,,,
5.93385,1.08E-06,-0.001337382,,,,,,,,,,,,,,
5.93395,1.08E-06,-0.001394872,,,,,,,,,,,,,,
5.93405,1.10E-06,-0.001320916,,,,,,,,,,,,,,
5.93415,1.12E-06,-0.001234083,,,,,,,,,,,,,,
5.93425,1.09E-06,-0.00142724,,,,,,,,,,,,,,
5.93435,1.10E-06,-0.001102356,,,,,,,,,,,,,,
5.93445,1.08E-06,-0.001224232,,,,,,,,,,,,,,
5.93455,1.08E-06,-0.001134373,,,,,,,,,,,,,,
5.93465,1.09E-06,-0.001073787,,,,,,,,,,,,,,
5.93475,1.11E-06,-0.001226483,,,,,,,,,,,,,,
5.93485,1.12E-06,-0.001360955,,,,,,,,,,,,,,
5.93495,1.10E-06,-0.001198196,,,,,,,,,,,,,,
5.93505,1.08E-06,-0.001290658,,,,,,,,,,,,,,
5.93515,1.11E-06,-0.001356662,,,,,,,,,,,,,,
5.93525,1.08E-06,-0.00132563,,,,,,,,,,,,,,
5.93535,1.04E-06,-0.001322534,,,,,,,,,,,,,,
5.93545,1.08E-06,-0.001358844,,,,,,,,,,,,,,
5.93555,1.11E-06,-0.001274263,,,,,,,,,,,,,,
5.93565,1.10E-06,-0.001218462,,,,,,,,,,,,,,
5.93575,1.08E-06,-0.001187078,,,,,,,,,,,,,,
5.93585,1.09E-06,-0.00127961,,,,,,,,,,,,,,
5.93595,1.10E-06,-0.001045922,,,,,,,,,,,,,,
5.93605,1.10E-06,-0.001215928,,,,,,,,,,,,,,
5.93615,1.09E-06,-0.001496693,,,,,,,,,,,,,,
5.93625,1.11E-06,-0.001407678,,,,,,,,,,,,,,
5.93635,1.09E-06,-0.001549187,,,,,,,,,,,,,,
5.93645,1.08E-06,-0.001305365,,,,,,,,,,,,,,
5.93655,1.11E-06,-0.001217617,,,,,,,,,,,,,,
5.93665,1.09E-06,-0.001239572,,,,,,,,,,,,,,
5.93675,1.08E-06,-0.00127384,,,,,,,,,,,,,,
5.93685,1.08E-06,-0.001199955,,,,,,,,,,,,,,
5.93695,1.08E-06,-0.001239501,,,,,,,,,,,,,,
5.93705,1.06E-06,-0.001310009,,,,,,,,,,,,,,
5.93715,1.08E-06,-0.001289884,,,,,,,,,,,,,,
5.93725,1.06E-06,-0.001543416,,,,,,,,,,,,,,
5.93735,1.07E-06,-0.001395786,,,,,,,,,,,,,,
5.93745,1.09E-06,-0.001246186,,,,,,,,,,,,,,
5.93755,1.09E-06,-0.001167727,,,,,,,,,,,,,,
5.93765,1.09E-06,-0.001029174,,,,,,,,,,,,,,
5.93775,1.08E-06,-0.001200729,,,,,,,,,,,,,,
5.93785,1.10E-06,-0.001288969,,,,,,,,,,,,,,
5.93795,1.12E-06,-0.001345896,,,,,,,,,,,,,,
5.93805,1.09E-06,-0.000984421,,,,,,,,,,,,,,
5.93815,1.10E-06,-0.001169979,,,,,,,,,,,,,,
5.93825,1.12E-06,-0.001064991,,,,,,,,,,,,,,
5.93835,1.13E-06,-0.001111785,,,,,,,,,,,,,,
5.93845,1.15E-06,-0.000954444,,,,,,,,,,,,,,
5.93855,1.10E-06,-0.001035507,,,,,,,,,,,,,,
5.93865,1.12E-06,-0.001069495,,,,,,,,,,,,,,
5.93875,1.13E-06,-0.001026852,,,,,,,,,,,,,,
5.93885,1.11E-06,-0.001047188,,,,,,,,,,,,,,
5.93895,1.13E-06,-0.001230213,,,,,,,,,,,,,,
5.93905,1.13E-06,-0.001404371,,,,,,,,,,,,,,
5.93915,1.12E-06,-0.00112424,,,,,,,,,,,,,,
5.93925,1.11E-06,-0.001333089,,,,,,,,,,,,,,
5.93935,1.11E-06,-0.001288195,,,,,,,,,,,,,,
5.93945,1.07E-06,-0.001607661,,,,,,,,,,,,,,
5.93955,1.09E-06,-0.001552353,,,,,,,,,,,,,,
5.93965,1.08E-06,-0.001880826,,,,,,,,,,,,,,
5.93975,1.09E-06,-0.001521673,,,,,,,,,,,,,,
5.93985,1.10E-06,-0.001367428,,,,,,,,,,,,,,
5.93995,1.11E-06,-0.0014252,,,,,,,,,,,,,,
5.94005,1.11E-06,-0.001427592,,,,,,,,,,,,,,
5.94015,1.12E-06,-0.001619624,,,,,,,,,,,,,,
5.94025,1.10E-06,-0.001402964,,,,,,,,,,,,,,
5.94035,1.12E-06,-0.001353003,,,,,,,,,,,,,,
5.94045,1.10E-06,-0.001581344,,,,,,,,,,,,,,
5.94055,1.10E-06,-0.001415137,,,,,,,,,,,,,,
5.94065,1.07E-06,-0.001418796,,,,,,,,,,,,,,
5.94075,1.10E-06,-0.001476216,,,,,,,,,,,,,,
5.94085,1.10E-06,-0.001498311,,,,,,,,,,,,,,
5.94095,1.11E-06,-0.001469953,,,,,,,,,,,,,,
5.94105,1.12E-06,-0.001769646,,,,,,,,,,,,,,
5.94115,1.12E-06,-0.001443143,,,,,,,,,,,,,,
5.94125,1.10E-06,-0.001318312,,,,,,,,,,,,,,
5.94135,1.12E-06,-0.001378687,,,,,,,,,,,,,,
5.94145,1.13E-06,-0.001362432,,,,,,,,,,,,,,
5.94155,1.13E-06,-0.001250408,,,,,,,,,,,,,,
5.94165,1.10E-06,-0.001504644,,,,,,,,,,,,,,
5.94175,1.11E-06,-0.001527232,,,,,,,,,,,,,,
5.94185,1.10E-06,-0.001501829,,,,,,,,,,,,,,
5.94195,1.10E-06,-0.001685839,,,,,,,,,,,,,,
5.94205,1.12E-06,-0.001621313,,,,,,,,,,,,,,
