A1_LTP,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.90005,1.08E-06,-0.001443706,,,,,,,,,,,,,,
5.90015,1.08E-06,-0.001464183,,,,,,,,,,,,,,
5.90025,1.09E-06,-0.001324575,,,,,,,,,,,,,,
5.90035,1.11E-06,-0.001389031,,,,,,,,,,,,,,
5.90045,1.11E-06,-0.001392268,,,,,,,,,,,,,,
5.90055,1.11E-06,-0.001382346,,,,,,,,,,,,,,
5.90065,1.10E-06,-0.001252801,,,,,,,,,,,,,,
5.90075,1.10E-06,-0.001190807,,,,,,,,,,,,,,
5.90085,1.07E-06,-0.001219095,,,,,,,,,,,,,,
5.90095,1.11E-06,-0.001566215,,,,,,,,,,,,,,
5.90105,1.10E-06,-0.001403949,,,,,,,,,,,,,,
5.90115,1.12E-06,-0.00114542,,,,,,,,,,,,,,
5.90125,1.10E-06,-0.001378828,,,,,,,,,,,,,,
5.90135,1.11E-06,-0.001501337,,,,,,,,,,,,,,
5.90145,1.09E-06,-0.001525825,,,,,,,,,,,,,,
5.90155,1.10E-06,-0.001614276,,,,,,,,,,,,,,
5.90165,1.08E-06,-0.001583315,,,,,,,,,,,,,,
5.90175,1.07E-06,-0.001252167,,,,,,,,,,,,,,
5.90185,1.08E-06,-0.001576419,,,,,,,,,,,,,,
5.90195,1.11E-06,-0.001604354,,,,,,,,,,,,,,
5.90205,1.11E-06,-0.001767395,,,,,,,,,,,,,,
5.90215,1.10E-06,-0.001379743,,,,,,,,,,,,,,
5.90225,1.08E-06,-0.001487967,,,,,,,,,,,,,,
5.90235,1.06E-06,-0.00156706,,,,,,,,,,,,,,
5.90245,1.09E-06,-0.001832343,,,,,,,,,,,,,,
5.90255,1.11E-06,-0.002012976,,,,,,,,,,,,,,
5.90265,1.12E-06,-0.001803634,,,,,,,,,,,,,,
5.90275,1.12E-06,-0.001623565,,,,,,,,,,,,,,
5.90285,1.12E-06,-0.001604002,,,,,,,,,,,,,,
5.90295,1.11E-06,-0.001691258,,,,,,,,,,,,,,
5.90305,1.11E-06,-0.001467983,,,,,,,,,,,,,,
5.90315,1.09E-06,-0.001660155,,,,,,,,,,,,,,
5.90325,1.09E-06,-0.00166304,,,,,,,,,,,,,,
5.90335,1.09E-06,-0.001590351,,,,,,,,,,,,,,
5.90345,1.07E-06,-0.001469038,,,,,,,,,,,,,,
5.90355,1.11E-06,-0.001351455,,,,,,,,,,,,,,
5.90365,1.11E-06,-0.001111293,,,,,,,,,,,,,,
5.90375,1.14E-06,-0.001338085,,,,,,,,,,,,,,
5.90385,1.13E-06,-0.001668036,,,,,,,,,,,,,,
