A1_LTD,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,
5.91375,2.96E-06,-0.001379426,,,,
5.91385,3.00E-06,-0.001065096,,,,
5.91395,2.97E-06,-0.000980867,,,,
5.91405,2.96E-06,-0.000842596,,,,
5.91415,2.97E-06,-0.000947231,,,,
5.91425,2.95E-06,-0.000781447,,,,
5.91435,2.96E-06,-0.00096799,,,,
5.91445,2.96E-06,-0.000939843,,,,
5.91455,2.97E-06,-0.001279645,,,,
5.91465,2.96E-06,-0.001379707,,,,
5.91475,2.95E-06,-0.001380622,,,,
5.91485,2.96E-06,-0.001334602,,,,
5.91495,2.95E-06,-0.001283023,,,,
5.91505,2.96E-06,-0.001450989,,,,
5.91515,2.98E-06,-0.001135252,,,,
5.91525,2.99E-06,-0.001095495,,,,
5.91535,2.94E-06,-0.001167832,,,,
5.91545,2.97E-06,-0.00130941,,,,
5.91555,2.97E-06,-0.001376681,,,,
5.91565,2.98E-06,-0.001131804,,,,
5.91575,2.98E-06,-0.00096989,,,,
5.91585,2.98E-06,-0.001165721,,,,
5.91595,2.97E-06,-0.001330732,,,,
5.91605,2.99E-06,-0.001554499,,,,
5.91615,2.98E-06,-0.001193868,,,,
5.91625,2.94E-06,-0.001043001,,,,
5.91635,2.95E-06,-0.001238692,,,,
5.91645,2.95E-06,-0.001277042,,,,
5.91655,2.96E-06,-0.001385477,,,,
5.91665,2.99E-06,-0.001581309,,,,
5.91675,2.99E-06,-0.001488072,,,,
5.91685,2.97E-06,-0.001467103,,,,
5.91695,2.97E-06,-0.001691996,,,,
5.91705,2.97E-06,-0.001578564,,,,
5.91715,2.94E-06,-0.001428331,,,,
5.91725,2.96E-06,-0.001385899,,,,
5.91735,2.98E-06,-0.001060522,,,,
5.91745,2.96E-06,-0.001352827,,,,
5.91755,2.96E-06,-0.000998459,,,,
5.91765,2.93E-06,-0.001147918,,,,
5.91775,2.96E-06,-0.001196471,,,,
5.91785,2.97E-06,-0.001457533,,,,
5.91795,2.99E-06,-0.001324891,,,,
5.91805,2.99E-06,-0.001287808,,,,
5.91815,2.97E-06,-0.001231444,,,,
5.91825,2.96E-06,-0.001510871,,,,
5.91835,2.95E-06,-0.001690377,,,,
5.91845,2.94E-06,-0.001605796,,,,
5.91855,2.95E-06,-0.00130167,,,,
5.91865,2.96E-06,-0.001087825,,,,
5.91875,2.96E-06,-0.001271905,,,,
5.91885,2.94E-06,-0.001397369,,,,
5.91895,2.96E-06,-0.001157981,,,,
5.91905,2.97E-06,-0.000779336,,,,
5.91915,2.95E-06,-0.000728601,,,,
5.91925,2.97E-06,-0.001026605,,,,
5.91935,2.98E-06,-0.000827326,,,,
5.91945,2.97E-06,-0.001009365,,,,
5.91955,2.96E-06,-0.001076284,,,,
5.91965,2.97E-06,-0.001064955,,,,
5.91975,2.97E-06,-0.001216174,,,,
5.91985,2.96E-06,-0.001070303,,,,
5.91995,2.97E-06,-0.001507071,,,,
5.92005,2.99E-06,-0.001354375,,,,
5.92015,2.94E-06,-0.001581449,,,,
5.92025,2.93E-06,-0.00152987,,,,
5.92035,2.99E-06,-0.001624584,,,,
5.92045,2.98E-06,-0.001429386,,,,
5.92055,2.96E-06,-0.001391036,,,,
5.92065,2.95E-06,-0.001344946,,,,
5.92075,2.95E-06,-0.001501935,,,,
5.92085,2.93E-06,-0.0013764,,,,
5.92095,2.95E-06,-0.001322147,,,,
5.92105,2.97E-06,-0.001213852,,,,
5.92115,2.94E-06,-0.00151073,,,,
5.92125,2.95E-06,-0.001345931,,,,
5.92135,2.95E-06,-0.001475477,,,,
5.92145,2.96E-06,-0.001271905,,,,
5.92155,2.97E-06,-0.001117942,,,,
5.92165,2.95E-06,-0.00145887,,,,
5.92175,2.98E-06,-0.001464148,,,,
5.92185,2.98E-06,-0.001290834,,,,
5.92195,2.97E-06,-0.001250091,,,,
5.92205,2.98E-06,-0.00121927,,,,
5.92215,2.99E-06,-0.001535007,,,,
5.92225,2.94E-06,-0.00151256,,,,
5.92235,2.98E-06,-0.001336854,,,,
5.92245,2.96E-06,-0.001386533,,,,
5.92255,2.95E-06,-0.001342624,,,,
5.92265,2.94E-06,-0.001231444,,,,
5.92275,2.99E-06,-0.001168747,,,,
5.92285,2.96E-06,-0.001265009,,,,
5.92295,2.98E-06,-0.001274227,,,,
5.92305,2.96E-06,-0.001266627,,,,
5.92315,2.97E-06,-0.001116675,,,,
5.92325,2.94E-06,-0.001223844,,,,
5.92335,2.94E-06,-0.001214556,,,,
5.92345,2.96E-06,-0.001327424,,,,
5.92355,2.96E-06,-0.001346635,,,,
5.92365,2.96E-06,-0.001146863,,,,
5.92375,2.97E-06,-0.001184439,,,,
5.92385,2.99E-06,-0.001444374,,,,
5.92395,2.97E-06,-0.001200693,,,,
5.92405,2.97E-06,-0.00108698,,,,
5.92415,3.00E-06,-0.001036738,,,,
5.92425,2.99E-06,-0.001102109,,,,
5.92435,3.00E-06,-0.001240592,,,,
5.92445,2.99E-06,-0.001119982,,,,
5.92455,2.98E-06,-0.000892627,,,,
5.92465,2.96E-06,-0.000930273,,,,
5.92475,2.97E-06,-0.001027872,,,,
5.92485,2.95E-06,-0.001408135,,,,
5.92495,2.97E-06,-0.001404758,,,,
5.92505,2.95E-06,-0.001263672,,,,
5.92515,2.97E-06,-0.001297378,,,,
5.92525,2.98E-06,-0.001321725,,,,
5.92535,2.96E-06,-0.001299911,,,,
5.92545,2.98E-06,-0.001276408,,,,
5.92555,2.98E-06,-0.00128626,,,,
5.92565,2.97E-06,-0.000917536,,,,
5.92575,2.95E-06,-0.00089333,,,,
5.92585,2.98E-06,-0.000999444,,,,
5.92595,2.97E-06,-0.001198864,,,,
5.92605,2.95E-06,-0.001002962,,,,
5.92615,2.94E-06,-0.000873416,,,,
5.92625,2.94E-06,-0.000834574,,,,
5.92635,2.94E-06,-0.000809664,,,,
5.92645,2.97E-06,-0.000829437,,,,
5.92655,2.97E-06,-0.000788131,,,,
5.92665,2.98E-06,-0.001015699,,,,
5.92675,2.98E-06,-0.001081703,,,,
5.92685,2.95E-06,-0.001106683,,,,
5.92695,2.96E-06,-0.0013054,,,,
5.92705,2.95E-06,-0.001410598,,,,
5.92715,2.93E-06,-0.001258817,,,,
5.92725,2.96E-06,-0.001466047,,,,
5.92735,2.93E-06,-0.001225674,,,,
5.92745,2.92E-06,-0.001171702,,,,
5.92755,2.92E-06,-0.001149607,,,,
5.92765,2.92E-06,-0.001133493,,,,
5.92775,2.91E-06,-0.001091413,,,,
5.92785,2.94E-06,-0.001030124,,,,
5.92795,2.95E-06,-0.000960531,,,,
5.92805,2.95E-06,-0.001395962,,,,
5.92815,2.93E-06,-0.001138419,,,,
5.92825,2.95E-06,-0.001327284,,,,
5.92835,2.99E-06,-0.00156041,,,,
5.92845,2.94E-06,-0.001210545,,,,
5.92855,2.93E-06,-0.001182328,,,,
5.92865,2.96E-06,-0.001318629,,,,
5.92875,2.96E-06,-0.001292241,,,,
5.92885,2.97E-06,-0.00107537,,,,
5.92895,2.96E-06,-0.001009858,,,,
5.92905,2.96E-06,-0.001024213,,,,
5.92915,2.93E-06,-0.000939632,,,,
5.92925,2.96E-06,-0.001088106,,,,
5.92935,2.96E-06,-0.001268738,,,,
5.92945,2.92E-06,-0.001229333,,,,
5.92955,2.92E-06,-0.001361482,,,,
5.92965,2.92E-06,-0.00116551,,,,
5.92975,2.95E-06,-0.00130934,,,,
5.92985,2.94E-06,-0.001114142,,,,
5.92995,2.96E-06,-0.00137267,,,,
5.93005,2.95E-06,-0.001286612,,,,
5.93015,2.98E-06,-0.001101757,,,,
5.93025,2.95E-06,-0.001318699,,,,
5.93035,2.96E-06,-0.001329113,,,,
5.93045,2.92E-06,-0.001426712,,,,
5.93055,2.96E-06,-0.000982696,,,,
5.93065,2.96E-06,-0.000976504,,,,
5.93075,2.94E-06,-0.001085995,,,,
5.93085,2.90E-06,-0.000850266,,,,
5.93095,2.92E-06,-0.000973338,,,,
5.93105,2.95E-06,-0.001015769,,,,
5.93115,2.92E-06,-0.000955394,,,,
5.93125,2.95E-06,-0.001002258,,,,
5.93135,2.96E-06,-0.00143389,,,,
5.93145,2.93E-06,-0.001250443,,,,
5.93155,2.92E-06,-0.001041875,,,,
5.93165,2.94E-06,-0.001009014,,,,
5.93175,2.95E-06,-0.000768147,,,,
5.93185,2.90E-06,-0.000698273,,,,
5.93195,2.90E-06,-0.000944698,,,,
5.93205,2.92E-06,-0.001040186,,,,
5.93215,2.89E-06,-0.001242843,,,,
5.93225,2.90E-06,-0.001096761,,,,
5.93235,2.91E-06,-0.001177332,,,,
5.93245,2.93E-06,-0.000992196,,,,
5.93255,2.94E-06,-0.001201397,,,,
5.93265,2.93E-06,-0.001488143,,,,
5.93275,2.94E-06,-0.001894372,,,,
5.93285,2.95E-06,-0.001364156,,,,
5.93295,2.95E-06,-0.00147611,,,,
5.93305,2.98E-06,-0.001446908,,,,
5.93315,2.96E-06,-0.001274579,,,,
5.93325,2.98E-06,-0.001312014,,,,
5.93335,2.97E-06,-0.001327143,,,,
5.93345,2.99E-06,-0.001361764,,,,
5.93355,2.96E-06,-0.000886153,,,,
5.93365,2.95E-06,-0.00103512,,,,
5.93375,2.98E-06,-0.000958279,,,,
5.93385,2.97E-06,-0.001216596,,,,
5.93395,2.96E-06,-0.001138208,,,,
5.93405,2.97E-06,-0.001254313,,,,
5.93415,3.00E-06,-0.001227785,,,,
5.93425,2.96E-06,-0.001024776,,,,
5.93435,2.97E-06,-0.00113483,,,,
5.93445,2.95E-06,-0.001428683,,,,
5.93455,2.95E-06,-0.001525437,,,,
5.93465,2.95E-06,-0.001415383,,,,
5.93475,2.96E-06,-0.001503975,,,,
5.93485,2.98E-06,-0.001556328,,,,
5.93495,2.97E-06,-0.001231233,,,,
5.93505,2.97E-06,-0.001195768,,,,
5.93515,2.96E-06,-0.00145507,,,,
5.93525,2.96E-06,-0.001292522,,,,
5.93535,2.95E-06,-0.00133425,,,,
5.93545,2.98E-06,-0.001099295,,,,
5.93555,2.98E-06,-0.001053134,,,,
5.93565,2.98E-06,-0.001068896,,,,
5.93575,2.99E-06,-0.001256354,,,,
5.93585,2.99E-06,-0.00118655,,,,
5.93595,2.96E-06,-0.00117895,,,,
5.93605,2.96E-06,-0.001032235,,,,
5.93615,2.98E-06,-0.001125471,,,,
5.93625,2.97E-06,-0.001012602,,,,
5.93635,2.97E-06,-0.001018232,,,,
5.93645,2.99E-06,-0.001318206,,,,
5.93655,3.01E-06,-0.001434734,,,,
5.93665,2.94E-06,-0.0009872,,,,
5.93675,2.94E-06,-0.001054963,,,,
5.93685,2.96E-06,-0.001036809,,,,
5.93695,2.94E-06,-0.001286119,,,,
5.93705,2.97E-06,-0.001541762,,,,
5.93715,2.96E-06,-0.001481599,,,,
5.93725,2.97E-06,-0.001352334,,,,
5.93735,2.97E-06,-0.001298222,,,,
5.93745,2.95E-06,-0.001174095,,,,
5.93755,2.98E-06,-0.001389347,,,,
5.93765,2.98E-06,-0.001144189,,,,
5.93775,2.97E-06,-0.001373233,,,,
5.93785,3.00E-06,-0.001492365,,,,
5.93795,2.98E-06,-0.001503694,,,,
5.93805,2.99E-06,-0.00121547,,,,
5.93815,2.99E-06,-0.001368519,,,,
5.93825,2.99E-06,-0.001304907,,,,
5.93835,3.00E-06,-0.001152281,,,,
5.93845,2.98E-06,-0.000928866,,,,
5.93855,2.97E-06,-0.000907615,,,,
5.93865,2.98E-06,-0.001074525,,,,
5.93875,2.97E-06,-0.001162132,,,,
5.93885,2.98E-06,-0.001089514,,,,
5.93895,2.97E-06,-0.001210052,,,,
5.93905,2.99E-06,-0.001006199,,,,
5.93915,2.97E-06,-0.001191405,,,,
5.93925,2.99E-06,-0.001351701,,,,
5.93935,2.99E-06,-0.001239114,,,,
5.93945,2.98E-06,-0.001233907,,,,
5.93955,2.99E-06,-0.001165651,,,,
5.93965,3.00E-06,-0.001221663,,,,
